Authors	Article Title	Source Title	Author Keywords	Abstract	Journal Abbreviation	Print Year	DOI	Taxon	Order	Genus	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	data type	Spot-checked
Gramazio, P; Pereira-Dias, L; Vilanova, S; Prohens, J; Soler, S; Esteras, J; Garmendia, A; Diez, MJ	Morphoagronomic characterization and whole-genome resequencing of eight highly diverse wild and weedy S. pimpinellifolium and S. lycopersicum var. cerasiforme accessions used for the first interspecific tomato MAGIC population	HORTICULTURE RESEARCH		The wild Solanum pimpinellifolium (SP) and the weedy S. lycopersicum var. cerasiforme (SLC) are largely unexploited genetic reservoirs easily accessible to breeders, as they are fully cross-compatible with cultivated tomato (S. lycopersicum var. lycopersicum). We performed a comprehensive morphological and genomic characterization of four wild SP and four weedy SLC accessions, selected to maximize the range of variation of both taxa. These eight accessions are the founders of the first tomato interspecific multi-parent advanced generation inter-cross (MAGIC) population. The morphoagronomic characterization was carried out with 39 descriptors to assess plant, inflorescence, fruit and agronomic traits, revealing the broad range of diversity captured. Part of the morphological variation observed in SP was likely associated to the adaptation of the accessions to different environments, while in the case of SLC to both human activity and adaptation to the environment. Whole-genome resequencing of the eight accessions revealed over 12 million variants, ranging from 1.2 to 1.9 million variants in SLC and from 3.1 to 4.8 million in SP, being 46.3% of them (4,897,803) private variants. The genetic principal component analysis also confirmed the high diversity of SP and the complex evolutionary history of SLC. This was also reflected in the analysis of the potential footprint of common ancestors or old introgressions identified within and between the two taxa. The functional characterization of the variants revealed a significative enrichment of GO terms related to changes in cell walls that would have been negatively selected during domestication and breeding. The comprehensive morphoagronomic and genetic characterization of these accessions will be of great relevance for the genetic analysis of the first interspecific MAGIC population of tomato and provides valuable knowledge and tools to the tomato community for genetic and genomic studies and for breeding purposes.	HORTIC RES-ENGLAND		10.1038/s41438-020-00395-w	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Marimon, N; Luque, J; Arus, P; Eduardo, I	Fine mapping and identification of candidate genes for the peach powdery mildew resistance gene Vr3	HORTICULTURE RESEARCH		Powdery mildew is one of the major diseases of peach (Prunus persica), caused by the ascomycete Podosphaera pannosa. Currently, it is controlled through calendar-based fungicide treatments starting at petal fall, but an alternative is to develop resistant peach varieties. Previous studies mapped a resistance gene (Vr3) in interspecific populations between almond ('Texas') and peach ('Earlygold'). To obtain molecular markers highly linked to Vr3 and to reduce the number of candidate genes, we fine-mapped Vr3 to a genomic region of 270kb with 27 annotated genes. To find evidence supporting one of these positional candidate genes as being responsible of Vr3, we analyzed the polymorphisms of the resequences of both parents and used near-isogenic lines (NILs) for expression analysis of the positional candidate genes in symptomatic or asymptomatic leaves. Genes differentially expressed between resistant and susceptible individuals were annotated as a Disease Resistance Protein RGA2 (Prupe2G111700) or an Eceriferum 1 protein involved in epicuticular wax biosynthesis (Prupe2G112800). Only Prupe2G111700 contained a variant predicted to have a disruptive effect on the encoded protein, and was overexpressed in both heterozygous and homozygous individuals containing the Vr3 almond allele, compared with susceptible individuals. This information was also useful to identify and validate molecular markers tightly linked and flanking Vr3. In addition, the NILs used in this work will facilitate the introgression of this gene into peach elite materials, alone or pyramided with other known resistance genes such as peach powdery mildew resistance gene Vr2.	HORTIC RES-ENGLAND		10.1038/s41438-020-00396-9	  			TRUE	TRUE	manipulative cross	FALSE			FALSE
Pomianowski, K; Ocalewicz, K	Cytogenetic investigation of Arctic char x brook trout F-1, F-2 and backcross hybrids revealed remnants of the chromosomal rearrangements	JOURNAL OF APPLIED GENETICS	Chromosome fragments; Fish; Internal telomeric sites (ITS); Interspecific hybrids; Salvelinus; Triploid fish	Arctic char (Salvelinus alpinus) and brook trout (Salvelinus fontinalis) hybridize and their offspring is viable and fertile. This may be a real treat for the native European stocks of Arctic char which gene pools might be unintendedly contaminated with the genetic elements of brook trout. On the other hand, hybrids of these two species are appreciated by customers and have some potential for the aquaculture. Moreover, Salvelinus hybrids and backcross individuals are interesting models in the research focused on influence of hybridization on the genomic organization and chromosome rearrangements. Thus, the main goal of the present study was to examine chromosomes of Arctic char x brook trout F-1, F-2 hybrids and backcross individuals and compare with genomic information concerning parental species to recognize karyotypic changes provoked by the hybridization events. Application of conventional and molecular (FISH) techniques allow to identify characteristic chromosomes for both parental species in the hybrid progeny and show multiplicity of cytotypes among different types of crosses with variability in structure and number of chromosome (81-85) and chromosome arm (99-101). Chromosome fragment was detected in the karyotype of one F-1 and one backcross individual and the presence of one triploid (3n) fish was documented. Occurrence of chromosomes containing internally located telomeric sequences (ITS) inherited after brook trout or both parental species was shown in F-1 and backcross progeny. Moreover, additional CMA(3)-positive signal on chromosome from Arctic char pair no. 2 in F-1 fish and interstitially located active NOR visible on subtelo-acrocentric (F-2 hybrid) and acrocentric (Sf x H individual) chromosomes were detected. Described polymorphic chromosomes together with specific, interstitial location of CMA(3)-positive found in F-2 and Sf x H hybrids and DAPI-positive regions observed in H x Sa fish at different uniarmed chromosomes pair presumably are remnants of chromosomal rearrangements. Provided results strongly indicate that the hybridization process influenced the genome organization in the Salvelinus hybrid progeny.	J APPL GENET		10.1007/s13353-020-00584-2	  			TRUE	TRUE	manipulative cross	FALSE			FALSE
Senguttuvel, P; Jaldhani, V; Raju, NS; Balakrishnan, D; Beulah, P; Bhadhana, VP; Mangrauthia, SK; Neeraja, CN; Subrahmanyam, D; Rao, PR; Hariprasad, AS; Voleti, SR	Breeding rice for heat tolerance and climate change scenario; possibilities and way forward. A review	ARCHIVES OF AGRONOMY AND SOIL SCIENCE	Rice; climate change; high-temperature stress; breeding for heat tolerance	The consequences of climate change are drastically impacting field crop production; it is an immense prerequisite to attribute resilience through crop improvement. Thus, the breeders' task is to sustain yield potential in changing climate, which imperils the food grain security. Globally, high temperature is one of the grounds that support climate change. High temperature critically affects the sensitive stages of rice, starting from anthesis to grain filling, which dictates plant reproduction. In tropical conditions, it is often the yield-limiting factor and sources for yield penalty with poor grain quality. Exploring the ways to mitigate heat tolerance in rice resulted in identifying key traits like early morning flowering, pollen fertility, pollen shedding percentage, stigma receptivity, and spikelet fertility. Identifying germplasm resources with heat-tolerance traits is the foremost task followed by exploiting them in climate-resilient rice breeding. It prompts the breeding practices to improve tolerant varieties as an adaptation option suggested by various simulated crop models. With the advances in biotechnology, there are still more comprehensions required in connection to genetics, physiology, and molecular responses of heat tolerance. Herein, we reviewed the consequence of heat tolerance, germplasm resources, genetic and genomic mechanisms for attenuating heat stress impact of rice.	ARCH AGRON SOIL SCI		10.1080/03650340.2020.1826041	  			TRUE	TRUE	review paper	FALSE			FALSE
Malinsky, M; Matschiner, M; Svardal, H	Dsuite - Fast D-statistics and related admixture evidence from VCF files	MOLECULAR ECOLOGY RESOURCES	ABBA&#8208; BABA; D statistic; f4&#8208; ratio; gene flow; introgression; software	Patterson's D, also known as the ABBA-BABA statistic, and related statistics such as the f(4)-ratio, are commonly used to assess evidence of gene flow between populations or closely related species. Currently available implementations often require custom file formats, implement only small subsets of the available statistics, and are impractical to evaluate all gene flow hypotheses across data sets with many populations or species due to computational inefficiencies. Here, we present a new software package Dsuite, an efficient implementation allowing genome scale calculations of the D and f(4)-ratio statistics across all combinations of tens or hundreds of populations or species directly from a variant call format (VCF) file. Our program also implements statistics suited for application to genomic windows, providing evidence of whether introgression is confined to specific loci, and it can also aid in interpretation of a system of f(4)-ratio results with the use of the f-branch method. Dsuite is available at , is straightforward to use, substantially more computationally efficient than comparable programs, and provides a convenient suite of tools and statistics, including some not previously available in any software package. Thus, Dsuite facilitates the assessment of evidence for gene flow, especially across larger genomic data sets.	MOL ECOL RESOUR		10.1111/1755-0998.13265	  			TRUE	TRUE	methods paper	FALSE			FALSE
Saxena, RK; Hake, A; Bohra, A; Khan, AW; Hingane, A; Sultana, R; Singh, IP; Naik, SJS; Varshney, RK	A diagnostic marker kit for Fusarium wilt and sterility mosaic diseases resistance in pigeonpea	THEORETICAL AND APPLIED GENETICS		Fusarium wilt (FW) and sterility mosaic diseases (SMD) are key biotic constraints to pigeonpea production. Occurrence of these two diseases in congenial conditions is reported to cause complete yield loss in susceptible pigeonpea cultivars. Various studies to elucidate genomic architecture of the two traits have revealed significant marker-trait associations for use in breeding programs. However, these DNA markers could not be used effectively in genomics-assisted breeding for developing FW and SMD resistant varieties primarily due to pathogen variability, location or background specificity, lesser phenotypic variance explained by the reported QTL and cost-inefficiency of the genotyping assays. Therefore, in the present study, a novel approach has been used to develop a diagnostic kit for identification of suitable FW and SMD resistant lines. This kit was developed with 10 markers each for FW and SMD resistance. Investigation of the diversity of these loci has shown the role of different alleles in different resistant genotypes. Two genes (C.cajan_03691andC.cajan_18888) for FW resistance and four genes (C.cajan_07858, C.cajan_20995, C.cajan_21801andC.cajan_17341) for SMD resistance have been identified. More importantly, we developed a customized and cost-effective Kompetitive allele-specific PCR genotyping assay for the identified genes in order to encourage their downstream applications in pigeonpea breeding programs. The diagnostic marker kit developed here will offer great strength to pigeonpea varietal development program, since the resistance against these two diseases is essentially required for nominating an improved line in varietal release pipeline.	THEOR APPL GENET		10.1007/s00122-020-03702-0	  			TRUE	TRUE	manipulative cross	FALSE			FALSE
Wang, SL; Rohwer, S; de Zwaan, DR; Toews, DPL; Lovette, IJ; Mackenzie, J; Irwin, D	Selection on a small genomic region underpins differentiation in multiple color traits between two warbler species	EVOLUTION LETTERS	ASIP; cline; GWAS; hybrid zone; hybridization; pigmentation; RALY; Setophaga; speciation	Speciation is one of the most important processes in biology, yet the study of the genomic changes underlying this process is in its infancy. North American warbler speciesSetophaga townsendiandSetophaga occidentalishybridize in a stable hybrid zone, following a period of geographic separation. Genomic differentiation accumulated during geographic isolation can be homogenized by introgression at secondary contact, whereas genetic regions that cause low hybrid fitness can be shielded from such introgression. Here, we examined the genomic underpinning of speciation by investigating (1) the genetic basis of divergent pigmentation traits between species, (2) variation in differentiation across the genome, and (3) the evidence for selection maintaining differentiation in the pigmentation genes. Using tens of thousands of single nucleotide polymorphisms (SNPs) genotyped in hundreds of individuals within and near the hybrid zone, genome-wide association mapping revealed a single SNP associated with cheek, crown, breast coloration, and flank streaking, reflecting pleiotropy (one gene affecting multiple traits) or close physical linkage of different genes affecting different traits. This SNP is within an intron of the RALY gene, hence we refer to it as the RALY SNP. We then examined between-species genomic differentiation, using both genotyping-by-sequencing and whole genome sequencing. We found that the RALY SNP is within one of the highest peaks of differentiation, which contains three genes known to influence pigmentation: ASIP, EIF2S2, and RALY (the ASIP-RALY gene block). Heterozygotes at this gene block are likely of reduced fitness, as the geographic cline of the RALY SNP has been narrow over two decades. Together, these results reflect at least one barrier to gene flow within this narrow (similar to 200 kb) genomic region that modulates plumage difference between species. Despite extensive gene flow between species across the genome, this study provides evidence that selection on a phenotype-associated genomic region maintains a stable species boundary.	EVOL LETT		10.1002/evl3.198	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Patino, LH; Munoz, M; Cruz-Saavedra, L; Muskus, C; Ramirez, JD	Genomic Diversification, Structural Plasticity, and Hybridization in Leishmania (Viannia) braziliensis	FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY	DNA-seq; genomic variability; copy number variations; single-nucleotide polymorphisms; Leishmania braziliensis	Leishmania (Viannia) braziliensis is an important Leishmania species circulating in several Central and South American countries. Among Leishmania species circulating in Brazil, Argentina and Colombia, L. braziliensis has the highest genomic variability. However, genomic variability at the whole genome level has been only studied in Brazilian and Peruvian isolates; to date, no Colombian isolates have been studied. Considering that in Colombia, L. braziliensis is a species with great clinical and therapeutic relevance, as well as the role of genetic variability in the epidemiology of leishmaniasis, we analyzed and evaluated intraspecific genomic variability of L. braziliensis from Colombian and Bolivian isolates and compared them with Brazilian isolates. Twenty-one genomes were analyzed, six from Colombian patients, one from a Bolivian patient, and 14 Brazilian isolates downloaded from public databases. The results obtained of Phylogenomic analysis showed the existence of four well-supported clades, which evidenced intraspecific variability. The whole-genome analysis revealed structural variations in the somy, mainly in the Brazilian genomes (clade 1 and clade 3), low copy number variations, and a moderate number of single-nucleotide polymorphisms (SNPs) in all genomes analyzed. Interestingly, the genomes belonging to clades 2 and 3 from Colombia and Brazil, respectively, were characterized by low heterozygosity (similar to 90% of SNP loci were homozygous) and regions suggestive of loss of heterozygosity (LOH). Additionally, we observed the drastic whole genome loss of heterozygosity and possible hybridization events in one genome belonging to clade 4. Unique/shared SNPs between and within the four clades were identified, revealing the importance of some of them in biological processes of L. braziliensis. Our analyses demonstrate high genomic variability of L. braziliensis in different regions of South America, mainly in Colombia and suggest that this species exhibits striking genomic diversity and a capacity of genomic hybridization; additionally, this is the first study to report whole-genome sequences of Colombian L. braziliensis isolates.	FRONT CELL INFECT MI		10.3389/fcimb.2020.582192	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Dufresnes, C; Probonas, NM; Strachinis, I	A reassessment of the diversity of green toads (Bufotes) in the circum-Aegean region	INTEGRATIVE ZOOLOGY	Cyclades; hybrid zone; Naxos; phylogeography; speciation	The dynamic biogeography of glacial refugia may cause complex patterns of genetic admixture between parapatric taxa, which in turn can mislead their systematics, diversity, and distributions. We investigated this issue for green toads (Bufotes) inhabiting the circum-Aegean region, a biodiversity hotspot of the Eastern Mediterranean. A previous phylogeographic study based on mitochondrial and microsatellite loci identified the hybrid zone between the European (viridis) and Anatolian (sitibundus) lineages ofB. viridisall over the Balkan Peninsula, but subsequent range-wide genomic analyses (>1000 SNPs) located this transition in Turkey, a thousand kilometers eastwards. In order to clarify the diversity and taxonomy of the circum-Aegean populations, we reconciled these conflicting findings by integrating previous data with puresitibundusindividuals. Our results confirmed that theviridis/sitibundushybrid zone extends in Western Anatolia, but that southeastern European populations feature cytonuclear discordances and a high and structured microsatellite diversity. This remarkable situation may stem from a massive geographic displacement of the hybrid zone during the last glacial fluctuations, an underappreciated yet seemingly common feature among the herpetofauna of the region. Our study thus contributes to the rising view that mitochondrial DNA can be a poor predictor of current phylogeographic structure, hence the need for genomic data, especially for narrowly distributed taxa. Finally, the analyses unambiguously support the distinction of a micro-endemic clade of green toads unique to some Cyclades islands, for which we provide a formal taxonomic description.	INTEGR ZOOL		10.1111/1749-4877.12494	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Gupta, P; Dholaniya, PS; Devulapalli, S; Tawari, NR; Sreelakshmi, Y; Sharma, R	Reanalysis of genome sequences of tomato accessions and its wild relatives: development of Tomato Genomic Variation (TGV) database integrating SNPs and INDELs polymorphisms	BIOINFORMATICS		Motivation: Facilitated by technological advances and expeditious decrease in the sequencing costs, whole-genome sequencing is increasingly implemented to uncover variations in cultivars/accessions of many crop plants. In tomato (Solanum lycopersicum), the availability of the genome sequence, followed by the resequencing of tomato cultivars and its wild relatives, has provided a prodigious resource for the improvement of traits. A high-quality genome resequencing of 84 tomato accessions and wild relatives generated a dataset that can be used as a resource to identify agronomically important alleles across the genome. Converting this dataset into a searchable database, including information about the influence of single-nucleotide polymorphisms (SNPs) on protein function, provides valuable information about the genetic variations. The database will assist in searching for functional variants of a gene for introgression into tomato cultivars. Results: A recent release of better-quality tomato genome reference assembly SL3.0, and new annotation ITAG3.2 of SL3.0, dropped 3857 genes, added 4900 novel genes and updated 20 766 genes. Using the above version, we remapped the data from the tomato lines resequenced under the '100 tomato genome resequencing project' on new tomato genome assembly SL3.0 and made an online searchable Tomato Genomic Variations (TGVs) database. The TGV contains information about SNPs and insertion/deletion events and expands it by functional annotation of variants with new ITAG3.2 using SIFT4G software. This database with search function assists in inferring the influence of SNPs on the function of a target gene. This database can be used for selecting SNPs, which can be potentially deployed for improving tomato traits.	BIOINFORMATICS		10.1093/bioinformatics/btaa617	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Nayfa, MG; Jones, DB; Benzie, JAH; Jerry, DR; Zenger, KR	Comparing Genomic Signatures of Selection Between the Abbassa Strain and Eight Wild Populations of Nile Tilapia (Oreochromis niloticus) in Egypt	FRONTIERS IN GENETICS	domestication; natural population; population genetics; population structure; outlier analysis; selection; farm management; aquaculture	Domestication to captive rearing conditions, along with targeted selective breeding have genetic consequences that vary from those in wild environments. Nile tilapia (Oreochromis niloticus) is one of the most translocated and farmed aquaculture species globally, farmed throughout Asia, North and South America, and its African native range. In Egypt, a breeding program established the Abbassa Strain of Nile tilapia (AS) in 2002 based on local broodstock sourced from the Nile River. The AS has been intensively selected for growth and has gone through genetic bottlenecks which have likely shifted levels and composition of genetic diversity within the strain. Consequently, there are questions on the possible genetic impact AS escapees may have on endemic populations of Nile tilapia. However, to date there have been no genetic studies comparing genetic changes in the domesticated AS to local wild populations. This study used 9,827 genome-wide SNPs to investigate population genetic structure and signatures of selection in the AS (generations 9-11) and eight wild Nile tilapia populations from Egypt. SNP analyses identified two major genetic clusters (captive and wild populations), with wild populations showing evidence of isolation-by-distance among the Nile Delta and upstream riverine populations. Between genetic clusters, approximately 6.9% of SNPs were identified as outliers with outliers identified on all 22 O. niloticus chromosomes. A lack of localized outlier clustering on the genome suggests that no genes of major effect were presently detected. The AS has retained high levels of genetic diversity (H-o_All = 0.21 +/- 0.01; H-e_All = 0.23 +/- 0.01) when compared to wild populations (H-o_All = 0.18 +/- 0.01; H-e_All = 0.17 +/- 0.01) after 11 years of domestication and selective breeding. Additionally, 565 SNPs were unique within the AS line. While these private SNPs may be due to domestication signals or founder effects, it is suspected that introgression with blue tilapia (Oreochromis aureus) has occurred. This study highlights the importance of understanding the effects of domestication in addition to wild population structure to inform future management and dissemination decisions. Furthermore, by conducting a baseline genetic study of wild populations prior to the dissemination of a domestic line, the effects of aquaculture on these populations can be monitored over time.	FRONT GENET		10.3389/fgene.2020.567969	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Orsman, ZHF; Ritson-Williams, R; Isthammer, KHT; Knapp, ISS; Oonen, RJT	Host-symbiont coevolution, cryptic structure, and bleaching susceptibility, in a coral species complex (Scleractinia; Poritidae)	SCIENTIFIC REPORTS		The 'species' is a key concept for conservation and evolutionary biology, yet the lines between population and species-level variation are often blurred, especially for corals. The 'Porites lobata species complex' consists of branching and mounding corals that form reefs across the Pacific. We used reduced representation meta-genomic sequencing to examine genetic relationships within this species complex and to identify candidate loci associated with colony morphology, cryptic genetic structure, and apparent bleaching susceptibility. We compared existing Porites data with bleached and unbleached colonies of the branching coral P. compressa collected in Kaneohe Bay Hawai'i during the 2015 coral bleaching event. Loci that mapped to coral, symbiont, and microbial references revealed genetic structure consistent with recent host-symbiont co-evolution. Cryptic genetic clades were resolved that previous work has associated with distance from shore, but no genetic structure was associated with bleaching. We identified many candidate loci associated with morphospecies, including candidate host and symbiont loci with fixed differences between branching and mounding corals. We also found many loci associated with cryptic genetic structure, yet relatively few loci associated with bleaching. Recent host-symbiont co-evolution and rapid diversification suggests that variation and therefore the capacity of these corals to adapt may be underappreciated.	SCI REP-UK		10.1038/s41598-020-73501-6	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Vendelbo, NM; Sarup, P; Orabi, J; Kristensen, PS; Jahoor, A	Genetic structure of a germplasm for hybrid breeding in rye (Secale cereale L.)	PLOS ONE		Rye (Secale cereale L.) responds strongly to changes in heterozygosity with hybrids portraying strong heterosis effect on all developmental and yielding characteristics. In order to achieve the highest potential heterosis effect parental lines must originate from genetically distinct gene pools. Here we report the first comprehensive SNP-based population study of an elite germplasm using fertilization control system for hybrid breeding in rye that is genetically different to the predominating P-type. In total 376 inbred lines from Nordic Seed Germany GmbH were genotyped for 4419 polymorphic SNPs. The aim of this study was to confirm and quantify the genetic separation of parental populations, unveil their genetic characteristics and investigate underlying population structures. Through a palette of complimenting analysis, we confirmed a strong genetic differentiation (F-ST = 0.332) of parental populations validating the germplasms suitability for hybrid breeding. These were, furthermore, found to diverge considerably in several features with the maternal population portraying a strong population structure characterized by a narrow genetic profile, small effective population size and high genome-wise linkage disequilibrium. We propose that the employed male-sterility system putatively constitutes a population determining parameter by influencing the rate of introducing novel genetic variation to the parental populations. Functional analysis of linkage blocks led to identification of a conserved segment on the distal 4RL chromosomal region annotated to the Rfp3 male-fertility restoration 'Pampa' type gene. Findings of our study emphasized the immediate value of comprehensive population studies on elite breeding germplasms as a pre-requisite for application of genomic-based breeding techniques, introgression of novel material and to support breeder decision-making.	PLOS ONE		10.1371/journal.pone.0239541	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Gueuning, M; Frey, JE; Praz, C	Ultraconserved yet informative for species delimitation: Ultraconserved elements resolve long-standing systematic enigma in Central European bees	MOLECULAR ECOLOGY	conservation biology; DNA barcoding; mitochondrial introgression; species delimitation; ultraconserved elements; wild bees	Accurate and testable species hypotheses are essential for measuring, surveying and managing biodiversity. Taxonomists often rely on mitochondrial DNA barcoding to complement morphological species delimitations. Although COI-barcoding has largely proven successful in assisting identifications for most animal taxa, there are nevertheless numerous cases where mitochondrial barcodes do not reflect species hypotheses. For instance, what is regarded as a single species can be associated with two distinct DNA barcodes, which can point either to cryptic diversity or to within-species mitochondrial divergences without reproductive isolation. In contrast, two or more species can share barcodes, for instance due to mitochondrial introgression. These intrinsic limitations of DNA barcoding are commonly addressed with nuclear genomic markers, which are expensive, may have low repeatability and often require high-quality DNA. To overcome these limitations, we examined the use of ultraconserved elements (UCEs) as a quick and robust genomic approach to address such problematic cases of species delimitation in bees. This genomic method was assessed using six different species complexes suspected to harbour cryptic diversity, mitochondrial introgression or mitochondrial paraphyly. The sequencing of UCEs recovered between 686 and 1,860 homologous nuclear loci and provided explicit species delimitation in all investigated species complexes. These results provide strong evidence for the suitability of UCEs as a fast method for species delimitation even in recently diverged lineages. Furthermore, we provide the first evidence for both mitochondrial introgression among distinct bee species, and mitochondrial paraphyly within a single bee species.	MOL ECOL		10.1111/mec.15629	  			TRUE	TRUE	mtDNA	FALSE			FALSE
Yang, WF; Zheng, LZ; He, Y; Zhu, LY; Chen, XQ; Tao, YS	Fine mapping and candidate gene prediction of a major quantitative trait locus for tassel branch number in maize	GENE	Zea mays; QTL fine mapping; Tassel inflorescence architecture; Pentatricopeptide repeat-containing protein; Histone deacetylase	Tassel branch number (TBN) is the principal component of tassel inflorescence architecture in the maize plant. TBN is believed to be controlled by a set of quantitative trait loci (QTLs). However, it is necessary to identify and genetically evaluate these QTLs before the TBN can be improved upon using a molecular breeding approach. Therefore, in this study, we developed the chromosome segment introgression line (CSIL) TBN1 with the Zong31 (Z31) background and a higher TBN, and then we utilized the CSIL-TBN1-derived populations and identified a major QTL, qTBN6a, by linkage analysis. Fine mapping of the qTBN6a QTL was validated using a set of sub-CSILs and located in a 240-kb genomic region (Bin6.07) in B73RefGen_v4. One allele included in the introgression fragment had a positive effect, noticeably increasing the TBN and demonstrating the potential to improve the TBN of Z31. Afterward, in the qTBN6a interval, gene expression, sequence alignment, functional analysis, and the analysis of motifs in the 5' UTR suggested that candidate genes of qTBN6a are important functional genes at the early stage of immature infected tassel development. Among these candidate genes, a long W22::Mu-insertion/deletion in exon one and an 11-bp insertion/deletion in the promoter region may affect the variation of the qTBN6a QTL observed between Z31 and TBN1. In addition, the candidate genes of qTBN6a were found to encode a pentatricopeptide repeat (PPR)-containing protein and a histone deacetylase (HDA), which are known to be closely associated with RNA editing and stability and chromatin state activity for the transcription of gene expression, respectively. Finally, a model of qTBN6a based on the synergistic regulation of PPR and HDA for the maintenance of inflorescence meristem (IM) identity and its differentiation to the branch meristem (BM) in TBN1 was suggested. Collectively, our results provide an available locus for the molecular improvement of TBN and the isolation of functional genes underlying this QTL.	GENE		10.1016/j.gene.2020.144928	  			TRUE	TRUE	manipulative cross	FALSE			FALSE
Singh, G; Kuzniar, A; Brouwer, M; Martinez-Ortiz, C; Bachem, CWB; Tikunov, YM; Bovy, AG; Visser, RGF; Finkers, R	Linked Data Platform for Solanaceae Species	APPLIED SCIENCES-BASEL	prioritization of candidate genes; plant breeding; Solanaceae; QTLs; semantic web; linked data	Genetics research is increasingly focusing on mining fully sequenced genomes and their annotations to identify the causal genes associated with traits (phenotypes) of interest. However, a complex trait is typically associated with multiple quantitative trait loci (QTLs), each comprising many genes, that can positively or negatively affect the trait of interest. To help breeders in ranking candidate genes, we developed an analytical platform called pbg-ld that provides semantically integrated geno- and phenotypic data on Solanaceae species. This platform combines both unstructured data from scientific literature and structured data from publicly available biological databases using the Linked Data approach. In particular, QTLs were extracted from tables of full-text articles from the Europe PubMed Central (PMC) repository using QTLTableMiner(++) (QTM), while the genomic annotations were obtained from the Sol Genomics Network (SGN), UniProt and Ensembl Plants databases. These datasets were transformed into Linked Data graphs, which include cross-references to many other relevant databases such as Gramene, Plant Reactome, InterPro and KEGG Orthology (KO). Users can query and analyze the integrated data through a web interface or programmatically via the SPARQL and RESTful services (APIs). We illustrate the usability of pbg-ld by querying genome annotations, by comparing genome graphs, and by two biological use cases in Jupyter Notebooks. In the first use case, we performed a comparative genomics study using pbg-ld to compare the difference in the genetic mechanism underlying tomato fruit shape and potato tuber shape. In the second use case, we developed a seamlessly integrated workflow that uses genomic data from pbg-ld knowledge graphs and prioritization pipelines to predict candidate genes within QTL regions for metabolic traits of tomato.	APPL SCI-BASEL		10.3390/app10196813	  			TRUE	TRUE	did not investigate introgression	FALSE			FALSE
Nyine, M; Adhikari, E; Clinesmith, M; Jordan, KW; Fritz, AK; Akhunov, E	Genomic Patterns of Introgression in Interspecific Populations Created by Crossing Wheat with Its Wild Relative	G3-GENES GENOMES GENETICS	Aegilops tauschii; wild relative; introgression; hexaploid wheat; recombination; tenacious glume	Introgression from wild relatives is a valuable source of novel allelic diversity for breeding. We investigated the genomic patterns of introgression fromAegilops tauschii, the diploid ancestor of the wheat D genome, into winter wheat (Triticum aestivum) cultivars. The population of 351 BC1F3:(5)lines was selected based on phenology from crosses between six hexaploid wheat lines and 21 wheat-Ae. tauschiioctoploids. SNP markers developed for this population and a diverse panel of 116Ae. tauschiiaccessions by complexity-reduced genome sequencing were used to detect introgression based on the identity-by-descent analysis. Overall, introgression frequency positively correlated with recombination rate, with a high incidence of introgression at the ends of chromosomes and low in the pericentromeric regions, and was negatively related to sequence divergence between the parental genomes. Reduced introgression in the pericentromeric low-recombining regions spans nearly 2/3 of each chromosome arm, suggestive of the polygenic nature of introgression barriers that could be associated with multilocus negative epistasis between the alleles of wild and cultivated wheat. On the contrary, negative selection against the wild allele ofTg, controlling free-threshing trait and located in the high-recombining chromosomal region, led to reduced introgression only within similar to 10 Mbp region aroundTg. These results are consistent with the effect of selection on linked variation described by the Hill-Robertson effect, and offer insights into the introgression population development for crop improvement to maximize retention of introgressed diversity across entire genome.	G3-GENES GENOM GENET		10.1534/g3.120.401479	  			TRUE	TRUE	introgression lines	FALSE			FALSE
Shchur, V; Svedberg, J; Medina, P; Corbett-Detig, R; Nielsen, R	On the Distribution of Tract Lengths During Adaptive Introgression	G3-GENES GENOMES GENETICS	adaptive introgression; tract length; adaptation; EPAS1; admixture; selection	Admixture is increasingly being recognized as an important factor in evolutionary genetics. The distribution of genomic admixture tracts, and the resulting effects on admixture linkage disequilibrium, can be used to date the timing of admixture between species or populations. However, the theory used for such prediction assumes selective neutrality despite the fact that many famous examples of admixture involve natural selection acting for or against admixture. In this paper, we investigate the effects of positive selection on the distribution of tract lengths. We develop a theoretical framework that relies on approximating the trajectory of the selected allele using a logistic function. By numerically calculating the expected allele trajectory, we also show that the approach can be extended to cases where the logistic approximation is poor due to the effects of genetic drift. Using simulations, we show that the model is highly accurate under most scenarios. We use the model to show that positive selection on average will tend to increase the admixture tract length. However, perhaps counter-intuitively, conditional on the allele frequency at the time of sampling, positive selection will actually produce shorter expected tract lengths. We discuss the consequences of our results in interpreting the timing of the introgression ofEPAS1from Denisovans into the ancestors of Tibetans.	G3-GENES GENOM GENET		10.1534/g3.120.401616	  			TRUE	TRUE	methods paper	FALSE			FALSE
