Authors	Title	Journal	Abstract	Print Year	DOI	Taxon	Order	Genus (or number of)	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	Data type (amplicon, microsat, sanger, WGS, RAD, transcriptome, exome)	Spot-checked
Fujimoto, Takafumi; Yamada, Aya; Kodo, Yukihiro; Nakaya, Kohei; Okubo-Murata, Michiko; Saito, Taiju; Ninomiya, Kazuto; Inaba, Michiko; Kuroda, Masamichi; Arai, Katsutoshi; Murakami, Masaru	Development of nuclear DNA markers to characterize genetically diverse groups of Misgurnus anguillicaudatus and its closely related species	FISHERIES SCIENCE	Repetitive DNA sequences, ManDra and ManBgl, were isolated from the DraI and BglII digests of the genomic DNA of Misgurnus anguillicaudatus, respectively. A primer set of ManDra distinguished two genetically different groups (A and B) of M. anguillicaudatus by specific electrophoretograms. A primer set of ManBgl amplified the DNA of M. anguillicaudatus and M. mizolepis. The individuals of M. anguillicaudatus were divided into two groups depending on the fragment sizes, in which the groups A and B (B-1 and B-2) showed 400 and 460 bp, respectively. M. mizolepis was distinguished by a different pattern (400-, 460-, and 510-bp fragments). PCR-RFLP analyses of recombination activating gene 1 gave a clear difference between A or B-2 (443-bp fragment) and B-1 groups (296- and 147-bp fragments). Clonal lineages and hybrids between B-1 and B-2 groups could be identified by appearance of three fragments (443, 296, and 147 bp). The combined analyses using the above three nuclear markers discriminated among nuclear genomes of genetic groups (A, B-1 and B-2) of M. anguillicaudatus and M. mizolepis. In several localities, natural hybridizations between the group B-1 and B-2 loaches and introgressions of clonal mitochondrial genomes into the group B-1 loaches were detected.	2017	10.1007/s12562-017-1108-y	Fish	Cypriniformes	Misgurnus	TRUE	TRUE	Hybrid detection	TRUE	sequence similarity	mtDNA	TRUE
Van Herwerden, L; Doherty, PJ	Contrasting genetic structures across two hybrid zones of a tropical reef fish, Acanthochromis polyacanthus (Bleeker 1855)	JOURNAL OF EVOLUTIONARY BIOLOGY	Hybrid zones are natural laboratories offering insights into speciation processes. Narrow hybrid zones are less common in the sea than on land consistent with higher dispersal among marine populations. Acanthochromis polyacanthus is an unusual bony marine fish with philopatric dispersal that exists as allopatric stocks of white, bicoloured and black fish on the Great Barrier Reef (GBR). At two latitudes, different morphs coexist and hybridize at narrow contact zones. Sequence data from mitochondrial Hypervariable Region 1 revealed contrasting patterns of introgression across these zones. At the northern hybrid zone, a single clade of mitochondrial haplotypes was found in all white fish, hybrids and tens of kilometres into pure bicoloured stock. At the southern hybrid zone, there was no introgression of mitochondrial genes into black fish and hybrids shared the bicoloured haplotypes. Based on this asymmetry, we postulate that black fish from the southern GBR have experienced a selective sweep of their mitochondrial genome, which has resulted in almost total reproductive isolation.	2006	10.1111/J.1420-9101.2005.00969.X	Fish	-	Acanthochromis	TRUE	TRUE	no stats	TRUE	PUAP, Fst	mtDNA	TRUE
Bay, Rachael A.; Taylor, Eric B.; Schluter, Dolph	Parallel introgression and selection on introduced alleles in a native species	MOLECULAR ECOLOGY	As humans cause the redistribution of species ranges, hybridization between previously allopatric species is on the rise. Such hybridization can have complex effects on overall fitness of native species as new allelic combinations are tested. Widespread species introductions provide a unique opportunity to study selection on introgressed alleles in independent, replicated populations. We examined selection on alleles that repeatedly introgressed from introduced rainbow trout (Oncorhynchus mykiss) into native westslope cutthroat trout (Oncorhynchus clarkii lewisi) populations in western Canada. We found that the degree of introgression of individual single nucleotide polymorphisms from the invasive species into the native is correlated between independent watersheds. A number of rainbow trout alleles have repeatedly swept to high frequency in native populations, suggesting parallel adaptive advantages. Using simulations, we estimated large selection coefficients up to 0.05 favoring several rainbow trout alleles in the native background. Although previous studies have found reduced hybrid fitness and genome-wide resistance to introgression in westslope cutthroat trout, our results suggest that some introduced genomic regions are strongly favored by selection. Our study demonstrates the utility of replicated introductions as case studies for understanding parallel adaptation and the interactions between selection and introgression across the genome. We suggest that understanding this variation, including consideration of beneficial alleles, can inform management strategies for hybridizing species.	2019	10.1111/mec.15097	Fish	Salmoniformes	Onchorhyncus	TRUE	TRUE	NGSAdmix, but results not directly reported	TRUE	PCA, NGSadmix, sequence similarity	GBS	TRUE
Hohenlohe, Paul A.; Amish, Stephen J.; Catchen, Julian M.; Allendorf, Fred W.; Luikart, Gordon	Next-generation RAD sequencing identifies thousands of SNPs for assessing hybridization between rainbow and westslope cutthroat trout	MOLECULAR ECOLOGY RESOURCES	The increased numbers of genetic markers produced by genomic techniques have the potential to both identify hybrid individuals and localize chromosomal regions responding to selection and contributing to introgression. We used restriction-site-associated DNA sequencing to identify a dense set of candidate SNP loci with fixed allelic differences between introduced rainbow trout (Oncorhynchus mykiss) and native westslope cutthroat trout (Oncorhynchus clarkii lewisi). We distinguished candidate SNPs from homeologs (paralogs resulting from whole-genome duplication) by detecting excessively high observed heterozygosity and deviations from Hardy-Weinberg proportions. We identified 2923 candidate species-specific SNPs from a single Illumina sequencing lane containing 24 barcode-labelled individuals. Published sequence data and ongoing genome sequencing of rainbow trout will allow physical mapping of SNP loci for genome-wide scans and will also provide flanking sequence for design of qPCR-based TaqMan (R) assays for high-throughput, low-cost hybrid identification using a subset of 50-100 loci. This study demonstrates that it is now feasible to identify thousands of informative SNPs in nonmodel species quickly and at reasonable cost, even if no prior genomic information is available.	2011	10.1111/j.1755-0998.2010.02967.x	Fish	Salmoniformes	Onchorhyncus	TRUE	TRUE	Method to identify hybrids	TRUE	sequence similarity	RAD	TRUE
Hirase, Shotaro; Kokita, Tomoyuki; Nagano, Atsushi J.; Kikuchi, Kiyoshi	Genomic and phenotypic consequences of two independent secondary contact zones between allopatric lineages of the anadromous ice goby Leucopsarion petersii	HEREDITY	Genetic and phenotypic analyses of independent secondary contact zones between certain pairs of divergent populations offer powerful opportunities to assess whether the consequences vary with different environmental backgrounds. Populations of the ice goby Leucopsarion petersii are distributed throughout the Japanese archipelago and comprise genetically and phenotypically divergent groups in the Japan Sea and the Pacific Ocean. In particular, populations in the Japan Sea have a larger body size and numbers of vertebrae than those in the Pacific Ocean. Herein, we performed integrated analyses of genotypes and phenotypes of two independent secondary contact zones and investigated their consequences. Population genetic analyses revealed asymmetric introgression of the mitochondrial genome of either lineage relative to little admixture of nuclear genomes in both secondary contact zones. On phenotype analyses, vertebral numbers were clearly explained by nuclear genomic ancestry in both secondary contact zones, whereas body size was not, suggesting that a little introgression of nuclear genes regulates body size. Actually, we observed biased introgression of a candidate gene, neuropeptide Y (NPY), which potentially controls body size in the ice goby. Moreover, the body size changes in the introgressed populations possibly affect the introgression patterns of mitochondrial genomes across these zones. Collectively, our results demonstrated that genomic and phenotypic consequences of secondary contact varied in marine variable environments.	2020	10.1038/s41437-019-0239-6	Fish	Gobiiformes	Leucopsarion	TRUE	TRUE	No quantitative metrics given	TRUE	ape, sequence similarity, ADMIXTURE, Fst, morphological data	mtDNA (1 gene), RAD (2262 loci)	TRUE
April, J.; Turgeon, J.	Phylogeography of the banded killifish (Fundulus diaphanus): glacial races and secondary contact	JOURNAL OF FISH BIOLOGY	Spatial patterns of morphological and genetic polymorphisms between the two banded killifish sub-species (Fundulus diaphanus diaphanus and F. d. menona) provide evidence that these subspecies represent distinct evolutionary lineages corresponding to glacial races of Atlantic and Mississippian origins. Individuals with intermediate phenotypes in Lake Ontario and the upper St Lawrence River probably result from secondary contacts between these races. The hybrid zone unexpectedly extends to Lake Erie and involves the introgression of the E d. diaphanus mitochondrial genome into fish with morphology like that of E d. menona. (c) 2006 The Authors Journal compilation (c) 2006 The Fisheries Society of the British Isles.	2006	10.1111/j.1095-8649.2006.01233.x	Fish	Cyprinodontiformes	Fundulus	TRUE	TRUE	RFLP	TRUE	morphological data, hybrid index, sequence similarity	mtDNA (1 locus), RFLP (1 locus)	TRUE
Kovach, Ryan P.; Hand, Brian K.; Hohenlohe, Paul A.; Cosart, Ted F.; Boyer, Matthew C.; Neville, Helen H.; Muhlfeld, Clint C.; Amish, Stephen J.; Carim, Kellie; Narum, Shawn R.; Lowe, Winsor H.; Allendorf, Fred W.; Luikart, Gordon	Vive la resistance: genome-wide selection against introduced alleles in invasive hybrid zones	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	Evolutionary and ecological consequences of hybridization between native and invasive species are notoriously complicated because patterns of selection acting on non-native alleles can vary throughout the genome and across environments. Rapid advances in genomics now make it feasible to assess locus-specific and genome-wide patterns of natural selection acting on invasive introgression within and among natural populations occupying diverse environments. We quantified genome-wide patterns of admixture across multiple independent hybrid zones of native westslope cutthroat trout and invasive rainbow trout, the world's most widely introduced fish, by genotyping 339 individuals from 21 populations using 9380 species-diagnostic loci. A significantly greater proportion of the genome appeared to be under selection favouring native cutthroat trout (rather than rainbow trout), and this pattern was pervasive across the genome (detected on most chromosomes). Furthermore, selection against invasive alleles was consistent across populations and environments, even in those where rainbow trout were predicted to have a selective advantage (warm environments). These data corroborate field studies showing that hybrids between these species have lower fitness than the native taxa, and show that these fitness differences are due to selection favouring many native genes distributed widely throughout the genome.	2016	10.1098/rspb.2016.1380	Fish	Salmoniformes	Onchorhyncus	TRUE	TRUE	Locus specific analysis	TRUE	sequence similarity	RAD (9380 loci)	TRUE
Bradbury, Ian R.; Bowman, Sharen; Borza, Tudor; Snelgrove, Paul V. R.; Hutchings, Jeffrey A.; Berg, Paul R.; Rodriguez-Ezpeleta, Naiara; Lighten, Jackie; Ruzzante, Daniel E.; Taggart, Christopher; Bentzen, Paul	Long Distance Linkage Disequilibrium and Limited Hybridization Suggest Cryptic Speciation in Atlantic Cod	PLOS ONE	Hybrid zones provide unprecedented opportunity for the study of the evolution of reproductive isolation, and the extent of hybridization across individuals and genomes can illuminate the degree of isolation. We examine patterns of interchromosomal linkage disequilibrium (ILD) and the presence of hybridization in Atlantic cod, Gadus morhua, in previously identified hybrid zones in the North Atlantic. Here, previously identified clinal loci were mapped to the cod genome with most (similar to 70%) occurring in or associated with (<5 kb) coding regions representing a diverse array of possible functions and pathways. Despite the observation that clinal loci were distributed across three linkage groups, elevated ILD was observed among all groups of clinal loci and strongest in comparisons involving a region of low recombination along linkage group 7. Evidence of ILD supports a hypothesis of divergence hitchhiking transitioning to genome hitchhiking consistent with reproductive isolation. This hypothesis is supported by Bayesian characterization of hybrid classes present and we find evidence of common F1 hybrids in several regions consistent with frequent interbreeding, yet little evidence of F2 or backcrossed individuals. This work suggests that significant barriers to hybridization and introgression exist among these co-occurring groups of cod either through strong selection against hybrid individuals, or genetic incompatibility and intrinsic barriers to hybridization. In either case, the presence of strong clinal trends, and little gene flow despite extensive hybridization supports a hypothesis of reproductive isolation and cryptic speciation in Atlantic cod. Further work is required to test the degree and nature of reproductive isolation in this species.	2014	10.1371/journal.pone.0106380	Fish	Gadiformes	Gadus	TRUE	TRUE	Structure based methods	TRUE	structure, newhybrids, sequence similarity	microarray (1536 loci)	TRUE
Dodson, Julian J.; Bourret, Audrey; Barrette, Marie France; Turgeon, Julie; Daigle, Gaetan; Legault, Michel; Lecomte, Frederic	Intraspecific Genetic Admixture and the Morphological Diversification of an Estuarine Fish Population Complex	PLOS ONE	The North-east American Rainbow smelt (Osmerus mordax) is composed of two glacial races first identified through the spatial distribution of two distinct mtDNA lineages. Contemporary breeding populations of smelt in the St. Lawrence estuary comprise contrasting mixtures of both lineages, suggesting that the two races came into secondary contact in this estuary. The overall objective of this study was to assess the role of intraspecific genetic admixture in the morphological diversification of the estuarine rainbow smelt population complex. The morphology of mixed-ancestry populations varied as a function of the relative contribution of the two races to estuarine populations, supporting the hypothesis of genetic admixture. Populations comprising both ancestral mtDNA races did not exhibit intermediate morphologies relative to pure populations but rather exhibited many traits that exceeded the parental trait values, consistent with the hypothesis of transgressive segregation. Evidence for genetic admixture at the level of the nuclear gene pool, however, provided only partial support for this hypothesis. Variation at nuclear AFLP markers revealed clear evidence of the two corresponding mtDNA glacial races. The admixture of the two races at the nuclear level is only pronounced in mixed-ancestry populations dominated by one of the mtDNA lineages, the same populations showing the greatest degree of morphological diversification and population structure. In contrast, mixed-ancestry populations dominated by the alternate mtDNA lineage showed little evidence of introgression of the nuclear genome, little morphological diversification and little contemporary population genetic structure. These results only partially support the hypothesis of transgressive segregation and may be the result of the differential effects of natural selection acting on admixed genomes from different sources.	2015	10.1371/journal.pone.0123172	Fish	Osmeriformes	Osmerus	TRUE	TRUE	Structure based analysis	TRUE	morphological data, PCA, STRUCTURE, hybrid index, sequence similarity	mtDNA, AFLP	TRUE
Gante, Hugo F.; Doadrio, Ignacio; Alves, Maria Judite; Dowling, Thomas E.	Semi-permeable species boundaries in Iberian barbels (Barbus and Luciobarbus, Cyprinidae)	BMC EVOLUTIONARY BIOLOGY	Background: The evolution of species boundaries and the relative impact of selection and gene flow on genomic divergence are best studied in populations and species pairs exhibiting various levels of divergence along the speciation continuum. We studied species boundaries in Iberian barbels, Barbus and Luciobarbus, a system of populations and species spanning a wide degree of genetic relatedness, as well as geographic distribution and range overlap. We jointly analyze multiple types of molecular markers and morphological traits to gain a comprehensive perspective on the nature of species boundaries in these cyprinid fishes. Results: Intraspecific molecular and morphological differentiation is visible among many populations. Genomes of all sympatric species studied are porous to gene flow, even if they are not sister species. Compared to their allopatric counterparts, sympatric representatives of different species share alleles and show an increase in all measures of nucleotide polymorphism (S, H-d, K, pi and theta). High molecular diversity is particularly striking in L. steindachneri from the Tejo and Guadiana rivers, which co-varies with other sympatric species. Interestingly, different nuclear markers introgress across species boundaries at various levels, with distinct impacts on population trees. As such, some loci exhibit limited introgression and population trees resemble the presumed species tree, while alleles at other loci introgress more freely and population trees reflect geographic affinities and interspecific gene flow. Additionally, extent of introgression decreases with increasing genetic divergence in hybridizing species pairs. Conclusions: We show that reproductive isolation in Iberian Barbus and Luciobarbus is not complete and species boundaries are semi-permeable to (some) gene flow, as different species (including non-sister) are exchanging genes in areas of sympatry. Our results support a speciation-with-gene-flow scenario with heterogeneous barriers to gene flow across the genome, strengthening with genetic divergence. This is consistent with observations coming from other systems and supports the notion that speciation is not instantaneous but a gradual process, during which different species are still able to exchange some genes, while selection prevents gene flow at other loci. We also provide evidence for a hybrid origin of a barbel ecotype, L. steindachneri, suggesting that ecology plays a key role in species coexistence and hybridization in Iberian barbels. This ecotype with intermediate, yet variable, molecular, morphological, trophic and ecological characteristics is the local product of introgressive hybridization of L. comizo with up to three different species (with L. bocagei in the Tejo, with L. microcephalus and L. sclateri in the Guadiana). In spite of the homogenizing effects of ongoing gene flow, species can still be discriminated using a combination of morphological and molecular markers. Iberian barbels are thus an ideal system for the study of species boundaries, since they span a wide range of genetic divergences, with diverse ecologies and degrees of sympatry.	2015	10.1186/s12862-015-0392-3	Fish	Cypriniformes	Barbus, Luciobarbus	TRUE	TRUE	Structure based analysis	TRUE	PCA, morphological data, JMODELTEST, PHYML, sequence similarity, dXY, Fst, PHYLIP, STRUCTURE	mtDNA (1 gene), Sanger (4 loci)	TRUE
Hulsey, Christopher Darrin; Bell, Katherine L.; Garcia-de-Leon, Francisco J.; Nice, Chris C.; Meyer, Axel	Do relaxed selection and habitat temperature facilitate biased mitogenomic introgression in a narrowly endemic fish?	ECOLOGY AND EVOLUTION	Introgression might be exceptionally common during the evolution of narrowly endemic species. For instance, in the springs of the small and isolated Cuatro Cienegas Valley, the mitogenome of the cichlid fish Herichthys cyanoguttatus could be rapidly introgressing into populations of the trophically polymorphic H. minckleyi. We used a combination of genetic and environmental data to examine the factors associated with this mitochondrial introgression. A reduced representation library of over 6220 single nucleotide polymorphisms (SNPs) from the nuclear genome showed that mitochondrial introgression into H. minckleyi is biased relative to the amount of nuclear introgression. SNP assignment probabilities also indicated that cichlids with more hybrid ancestry are not more commonly female providing no support for asymmetric backcrossing or hybrid-induced sex-ratio distortion in generating the bias in mitochondrial introgression. Smaller effective population size in H. minckleyi inferred from the SNPs coupled with sequences of all 13 mitochondrial proteins suggests that relaxed selection on the mitogenome could be facilitating the introgression of "H. cyanoguttatus" haplotypes. Additionally, we showed that springs with colder temperatures had greater amounts of mitochondrial introgression from H. cyanoguttatus. Relaxed selection in H. minckleyi coupled with temperature-related molecular adaptation could be facilitating mitogenomic introgression into H. minckleyi.	2016	10.1002/ece3.2121	Fish	Cichliformes	Herichthys	TRUE	TRUE	Structure based methods	TRUE	ENTROPY, sequence similarity	RAD, mtDNA (13 genes)	TRUE
Pujolar, J. M.; Jacobsen, M. W.; Als, T. D.; Frydenberg, J.; Magnussen, E.; Jonsson, B.; Jiang, X.; Cheng, L.; Bekkevold, D.; Maes, G. E.; Bernatchez, L.; Hansen, M. M.	Assessing patterns of hybridization between North Atlantic eels using diagnostic single-nucleotide polymorphisms	HEREDITY	The two North Atlantic eel species, the European eel (Anguilla anguilla) and the American eel (Anguilla rostrata), spawn in partial sympatry in the Sargasso Sea, providing ample opportunity to interbreed. In this study, we used a RAD (Restriction site Associated DNA) sequencing approach to identify species-specific diagnostic single-nucleotide polymorphisms (SNPs) and design a low-density array that combined with screening of a diagnostic mitochondrial DNA marker. Eels from Iceland (N=159) and from the neighboring Faroe Islands (N=29) were genotyped, along with 94 larvae (49 European and 45 American eel) collected in the Sargasso Sea. Our SNP survey showed that the majority of Icelandic eels are pure European eels but there is also an important contribution of individuals of admixed ancestry (10.7%). Although most of the hybrids were identified as F1 hybrids from European eel female x American eel male crosses, backcrosses were also detected, including a first-generation backcross (F1 hybrid x pure European eel) and three individuals identified as second-generation backcrosses originating from American eel x F1 hybrid backcrosses interbreeding with pure European eels. In comparison, no hybrids were observed in the Faroe Islands, the closest bodies of land to Iceland. It is possible that hybrids show an intermediate migratory behaviour between the two parental species that ultimately brings hybrid larvae to the shores of Iceland, situated roughly halfway between the Sargasso Sea and Europe. Only two hybrids were observed among Sargasso Sea larvae, both backcrosses, but no F1 hybrids, that points to temporal variation in the occurrence of hybridization.	2014	10.1038/hdy.2013.145	Fish	Anguilliformes	Anguilla	TRUE	TRUE	Structure based methods	TRUE	Fst, STRUCTURE, NewHybrids, HYBRIDLAB	RAD (767015), mtDNA (1 gene)	TRUE
Pujolar, J. M.; Jacobsen, M. W.; Als, T. D.; Frydenberg, J.; Munch, K.; Jonsson, B.; Jian, J. B.; Cheng, L.; Maes, G. E.; Bernatchez, L.; Hansen, M. M.	Genome-wide single-generation signatures of local selection in the panmictic European eel	MOLECULAR ECOLOGY	Next-generation sequencing and the collection of genome-wide data allow identifying adaptive variation and footprints of directional selection. Using a large SNP data set from 259 RAD-sequenced European eel individuals (glass eels) from eight locations between 34 and 64(o)N, we examined the patterns of genome-wide genetic diversity across locations. We tested for local selection by searching for increased population differentiation using F-ST-based outlier tests and by testing for significant associations between allele frequencies and environmental variables. The overall low genetic differentiation found (F-ST=0.0007) indicates that most of the genome is homogenized by gene flow, providing further evidence for genomic panmixia in the European eel. The lack of genetic substructuring was consistent at both nuclear and mitochondrial SNPs. Using an extensive number of diagnostic SNPs, results showed a low occurrence of hybrids between European and American eel, mainly limited to Iceland (5.9%), although individuals with signatures of introgression several generations back in time were found in mainland Europe. Despite panmixia, a small set of SNPs showed high genetic differentiation consistent with single-generation signatures of spatially varying selection acting on glass eels. After screening 50354 SNPs, a total of 754 potentially locally selected SNPs were identified. Candidate genes for local selection constituted a wide array of functions, including calcium signalling, neuroactive ligand-receptor interaction and circadian rhythm. Remarkably, one of the candidate genes identified is PERIOD, possibly related to differences in local photoperiod associated with the >30 degrees difference in latitude between locations. Genes under selection were spread across the genome, and there were no large regions of increased differentiation as expected when selection occurs within just a single generation due to panmixia. This supports the conclusion that most of the genome is homogenized by gene flow that removes any effects of diversifying selection from each new generation.	2014	10.1111/mec.12753	Fish	Anguilliformes	Anguilla	TRUE	TRUE	Structure based methods	TRUE	sequence similarity, Fst, STRUCTURE	RAD (453062 snps), mtDNA (41 snps)	TRUE
Gante, Hugo F.; Matschiner, Michael; Malmstrom, Martin; Jakobsen, Kjetill S.; Jentoft, Sissel; Salzburger, Walter	Genomics of speciation and introgression in Princess cichlid fishes from Lake Tanganyika	MOLECULAR ECOLOGY	How variation in the genome translates into biological diversity and new species originate has endured as the mystery of mysteries in evolutionary biology. African cichlid fishes are prime model systems to address speciation-related questions for their remarkable taxonomic and phenotypic diversity, and the possible role of gene flow in this process. Here, we capitalize on genome sequencing and phylogenomic analyses to address the relative impacts of incomplete lineage sorting, introgression and hybrid speciation in the Neolamprologus savoryi-complex (the 'Princess cichlids') from Lake Tanganyika. We present a time-calibrated species tree based on whole-genome sequences and provide strong evidence for incomplete lineage sorting in the early phases of diversification and multiple introgression events affecting different stages. Importantly, we find that the Neolamprologus chromosomes show centre-to-periphery biases in nucleotide diversity, sequence divergence, GC content, incomplete lineage sorting and rates of introgression, which are likely modulated by recombination density and linked selection. The detection of heterogeneous genomic landscapes has strong implications on the genomic mechanisms involved in speciation. Collinear chromosomal regions can be protected from gene flow and harbour incompatibility genes if they reside in lowly recombining regions, and coupling can evolve between non-physically linked genomic regions (chromosome centres in particular). Simultaneously, higher recombination towards chromosome peripheries makes these more dynamic, evolvable regions where adaptation polymorphisms have a fertile ground. Hence, differences in genome architecture could explain the levels of taxonomic and phenotypic diversity seen in taxa with collinear genomes and might have contributed to the spectacular cichlid diversity observed today.	2016	10.1111/mec.13767	Fish	Cichliformes	Neolamprologus	TRUE	FALSE	NA	TRUE	SAGUARO, RAxML, Patterson's D, PhyloNet	WGS	TRUE
Roberge, Christian; Normandeau, Eric; Einum, Sigurd; Guderley, Helga; Bernatchez, Louis	Genetic consequences of interbreeding between farmed and wild Atlantic salmon: insights from the transcriptome	MOLECULAR ECOLOGY	Large annual escapees of farmed Atlantic salmon enhance the risk of extinction of wild populations through genetic and ecological interactions. Recently, we documented evolutionary change in gene transcription between farmed and wild Atlantic salmon after only five generations of artificial selection. While differences for most quantitative traits are expected to gradually dilute through repeated backcrossing to wild populations, the genetic basis of gene transcription has been shown to be largely nonadditive and hybrid crosses may display unexpected inheritance patterns. This makes it difficult to predict to what extent interbreeding between farmed and wild individuals will change the genetic makeup of wild salmon populations. Here, we compare the genome-wide gene transcription profiles of Norwegian wild salmon to that of a second generation hybrid cross [backcross: (Farmed X Wild) X Wild]. Over 6% (298, q-value < 0.01) of the detected genes exhibited highly significantly different transcription levels, and the range and average magnitude of those differences was strikingly higher than previously described between pure farmed and wild strains. Most differences appear to result from nonadditive gene interactions. These results suggest that interbreeding of fugitive farmed salmon and wild individuals could substantially modify the genetic control of gene transcription in natural populations exposed to high migration from fish farms, resulting in potentially detrimental effects on the survival of these populations. This further supports the idea that measures to considerably reduce the number of escaped farmed salmon and their reproduction in the wild are urgently needed.	2008	10.1111/j.1365-294X.2007.03438.x	Fish	Salmoniformes	Salmo	TRUE	TRUE	no stats	TRUE	sequence similarity	Transciptome	TRUE
Rougeux, Clement; Bernatchez, Louis; Gagnaire, Pierre-Alexandre	Modeling the Multiple Facets of Speciation-with-Gene-Flow toward Inferring the Divergence History of Lake Whitefish Species Pairs (Coregonus clupeaformis)	GENOME BIOLOGY AND EVOLUTION	Parallel divergence across replicated species pairs occurring in similar environmental contrasts may arise through distinct evolutionary scenarios. Deciphering whether such parallelism actually reflects repeated parallel divergence driven by divergent selection or a single divergence event with subsequent gene flow needs to be ascertained. Reconstructing historical gene flow is therefore of fundamental interest to understand how demography and selection jointly shaped genomic divergence during speciation. Here, we use an extended modeling framework to explore the multiple facets of speciation-with-gene-flow with demo-genetic divergence models that capture both temporal and genomic variation in effective population size and migration rate. We investigate the divergence history of replicate sympatric species pairs of Lake Whitefish (normal benthic and dwarf limnetic) characterized by variable degrees of ecological divergence and reproductive isolation. Genome-wide SNPs were used to document the extent of genetic differentiation in each species pair, and 26 divergence models were fitted and compared with the unfolded joint allele frequency spectrum of each pair. We found evidence that a recent (circa 3,000-4,000 generations) asymmetrical secondary contact between expanding postglacial populations has accompanied Whitefish diversification. Our results suggest that heterogeneous genomic differentiation has emerged through the combined effects of linked selection generating variable rates of lineage sorting across the genome during geographical isolation, and heterogeneous introgression eroding divergence at different rates across the genome upon secondary contact. This study thus provides a new retrospective insight into the historical demographic and selective processes that shaped a continuum of divergence associated with ecological speciation.	2017	10.1093/gbe/evx150	Fish	Salmoniformes	Coregonus	TRUE	TRUE	Treemix only	TRUE	dadi, dAPC, TREEMIX	RAD (42558 snps)	TRUE
Angers, Bernard; Leung, Christelle; Vetil, Romain; Deremiens, Leo; Vergilino, Roland	The effects of allospecific mitochondrial genome on the fitness of northern redbelly dace (Chrosomus eos)	ECOLOGY AND EVOLUTION	Instantaneous mitochondrial introgression events allow the disentangling of the effects of hybridization from those of allospecific mtDNA. Such process frequently occurred in the fish Chrosomus eos, resulting in cybrid individuals composed of a C.eos nuclear genome but with a C.neogaeus mtDNA. This provides a valuable model to address the fundamental question: How well do introgressed individuals perform in their native environment? We infer where de novo production of cybrids occurred to discriminate native environments from those colonized by cybrids in 25 sites from two regions (West-Qc and East-Qc) in Quebec (Canada). We then compared the relative abundance of wild types and cybrids as a measure integrating both fitness and de novo production of cybrids. According to mtDNA variation, 12 introgression events are required to explain the diversity of cybrids. Five cybrid lineages could not be associated with in situ introgression events. This includes one haplotype carried by 93% of the cybrids expected to have colonized West-Qc. These cybrids also displayed a nearly complete allopatric distribution with wild types. We still inferred de novo production of cybrids at seven sites, that accounted for 70% of the cybrids in East-Qc. Wild-type and cybrid individuals coexist in all East-Qc sites while cybrids were less abundant. Allopatry of cybrids restricted to the postglacial expansion suggests the existence of higher fitness for cybrids in specific conditions, allowing for the colonization of different environments and expanding the species' range. However, allospecific mtDNA does not provide a higher fitness to cybrids in their native environment compared to wild types, making the success of an introgressed lineage uncertain.	2018	10.1002/ece3.3922	Fish	Cypriniformes	Chrosomus	TRUE	TRUE	mt trees only	TRUE	sequence similarity, Fst	mtDNA	TRUE
Leitwein, Maeva; Cayuela, Hugo; Ferchaud, Anne-Laure; Normandeau, Eric; Gagnaire, Pierre-Alexandre; Bernatchez, Louis	The role of recombination on genome-wide patterns of local ancestry exemplified by supplemented brook charr populations	MOLECULAR ECOLOGY	Assessing the immediate and long-term evolutionary consequences of human-mediated hybridization is of major concern for conservation biology. Several studies have documented how selection in interaction with recombination modulates introgression at a genome-wide scale, but few have considered the dynamics of this process within and among chromosomes. Here, we used an exploited freshwater fish, the brook charr (Salvelinus fontinalis), for which decades of stocking practices have resulted in admixture between wild populations and an introduced domestic strain, to assess both the temporal dynamics and local chromosomal variation in domestic ancestry. We provide a detailed picture of the domestic ancestry patterns across the genome using about 33,000 mapped single nucleotide polymorphisms genotyped in 611 individuals from 24 supplemented populations. For each lake, we distinguished early- and late-generation hybrids using information regarding admixture tracts. To assess the selective outcomes following admixture we then evaluated the relationship between recombination and admixture proportions at three different scales: the whole genome, chromosomes and within 2-Mb windows. This allowed us to detect a wide range of evolutionary mechanisms varying along the genome, as reflected by the finding of favoured or disfavoured introgression of domestic haplotypes. Among these, the main factor modulating local ancestry was probably the presence of deleterious recessive mutations in the wild populations, which can be efficiently hidden to selection in the presence of long admixture tracts. Overall, our results emphasize the relevance of taking into consideration local ancestry information to assess both the temporal and the chromosomal variation in local admixture ancestry toward better understanding post-hybridization evolutionary outcomes.	2019	10.1111/mec.15256	Fish	Salmoniformes	Salvinus	TRUE	TRUE	Tract length/number only	TRUE	sequence similarity, tract lenght comparisons	GBS (55267 loci)	TRUE
