P1	P2	P3	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2909434	-10.024679	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2392054	-7.0015898	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.2319852	-6.9650081	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	-0.4644863	-23.231829	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eragrostis)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	-0.1944298	-9.9471993	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.0441359	-1.8873921	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Eleusine1)	Ascomycetes	Sordariomycetes	D	0.11682828	4.55326188	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	-0.2292972	-8.3060579	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	0.04023277	2.02728862	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Eleusine2)	Ascomycetes	Sordariomycetes	D	0.04147391	1.64545282	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.04236373	1.59154278	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.03138369	1.26594587	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Eleusine2)	Ascomycetes	Sordariomycetes	D	0.03763427	1.1152424	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	0.02233499	1.03117574	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	0.01717153	0.70062592	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Eragrostis)	Ascomycetes	Sordariomycetes	D	0.03864376	0.6910584	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Brachiaria1)	Magnaporthe oryzae (Stenotaphrum)	Magnaporthe oryzae (Eragrostis)	Ascomycetes	Sordariomycetes	D	0.00199655	0.07930619	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Brachiaria2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.0022094	-0.0608888	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	0.84603346	194.599383	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine2)	Ascomycetes	Sordariomycetes	D	0.85507243	161.094253	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	0.85277701	153.159436	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	0.86560632	151.716979	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.86230111	139.942145	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eragrostis)	Ascomycetes	Sordariomycetes	D	0.86710392	135.216142	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	0.77414208	131.336289	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Triticum)	Magnaporthe oryzae (Lolium)	Magnaporthe oryzae (Eleusine1)	Ascomycetes	Sordariomycetes	D	0.84813421	126.624052	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	0.51527171	22.169552	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	0.43079483	19.7382475	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Eragrostis)	Ascomycetes	Sordariomycetes	D	0.23828193	13.2304829	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Triticum)	Ascomycetes	Sordariomycetes	D	0.096315	3.34212819	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Lolium)	Ascomycetes	Sordariomycetes	D	0.07713738	3.2455901	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Eleusine2)	Ascomycetes	Sordariomycetes	D	-0.0601042	-2.9843425	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	-0.0708354	-2.5843277	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Setaria)	Ascomycetes	Sordariomycetes	D	0.06534789	2.45346145	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.1344595	-2.4514333	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Stenotaphrum)	Ascomycetes	Sordariomycetes	D	-0.0605063	-1.8985639	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	-0.0475141	-1.8675104	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Brachiaria2)	Ascomycetes	Sordariomycetes	D	0.04813484	1.18215742	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Oryza)	Ascomycetes	Sordariomycetes	D	0.02720598	0.984269	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Eragrostis)	Ascomycetes	Sordariomycetes	D	0.02431687	0.85374435	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Eleusine1)	Magnaporthe oryzae (Eleusine2)	Magnaporthe oryzae (Brachiaria1)	Ascomycetes	Sordariomycetes	D	0.01267649	0.39955005	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Magnaporthe oryzae (Setaria)	Magnaporthe oryzae (Oryza)	Magnaporthe oryzae (Eleusine1)	Ascomycetes	Sordariomycetes	D	0.00649256	0.27382175	WGS	DOI: 10.1128/mBio.01219-17	DP	2Feb21	Table S2 (multiple time periods)	multiple configurations 	no	Z			
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.326	66.985	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.094	18.499	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.493	83.178	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.222	53.571	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.326	-66.985	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.094	-18.499	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.027	-10.539	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.116	-37.483	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.272	47.1	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.249	70.227	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.127	18.494	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.11	15.711	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.027	10.539	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.116	37.483	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.274	46.161	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	0.271	70.628	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.493	6.292x 10-4	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.222	2.948x 10-3	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.272	-47.099	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.249	-70.227	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.127	-18.494	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.11	-15.711	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.274	-46.161	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	D	-0.271	-70.628	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.091	38.707	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.134	103.184	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.132	47.137	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.144	78.326	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.058	22.824	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.149	102.869	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.123	38.8	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.17	90.67	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.091	-38.707	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.134	-103.184	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.132	-47.137	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.144	-78.326	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.031	-15.202	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.028	26.39	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.007	-3.578	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.043	30.165	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.058	-22.824	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.149	-102.869	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.123	-38.8	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.17	-90.67	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.031	15.202	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.028	-26.39	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	0.007	3.578	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides posadasii	Coccidioides posadasii	Coccidioides immitis	Ascomycetes	Eurotiomycetes	D	-0.043	-30.165	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	6.284 x 10-3	66.985	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	7.699 x 10-3	18.499	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	1.146 x 10-32	83.178	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	1.601 x 10-2	53.571	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-6.262 x 10-3	-66.985	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-6.801 x 10-3	-18.499	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-5.55 x 10-4	-10.539	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	-7.153 x 10-3	-37.483	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
Coccidioides immitis	Coccidioides immitis	Coccidioides posadasii	Ascomycetes	Eurotiomycetes	fd	5.589 x 10-3	47.1	WGS	10.1111/evo.13643	DP	6Feb21	Table S2 (multiple reference genomes used and samples from different localities)	all pairwise and multiple outgroups	yes	Z	5		
