Species_1 (P1)	Species_2 (P2)	Species_3 (P3)	phylum	class	metric	value	significant? (Y/N; p-value; Z statistic)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time (mya)	Recombination (+,0,-)	Sex chromosomes (+,0,-)
Branta leucopsis	Branta hutchinsii	Branta canadensis	Chordata	Aves	D	0.08728	4.32154	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta leucopsis	Branta hutchinsii	Branta ruficollis	Chordata	Aves	D	0.14635	6.02174	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta canadensis	Branta hutchinsii	Branta ruficollis	Chordata	Aves	D	0.04229	2.02795	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta sandvicensis	Branta hutchinsii	Branta ruficollis	Chordata	Aves	D	0.05084	2.21083	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta leucopsis	Branta hutchinsii	Branta bernicla	Chordata	Aves	D	0.09358	3.5156	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta canadensis	Branta hutchinsii	Branta bernicla	Chordata	Aves	D	0.02062	0.84617	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta sandvicensis	Branta hutchinsii	Branta bernicla	Chordata	Aves	D	0.04735	1.99313	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta leucopsis	Branta canadensis	Branta ruficollis	Chordata	Aves	D	0.10018	4.03718	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta sandvicensis	Branta canadensis	Branta ruficollis	Chordata	Aves	D	0.01082	0.4553	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta leucopsis	Branta sandvicensis	Branta ruficollis	Chordata	Aves	D	0.0937	4.19242	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta leucopsis	Branta bernicla	Branta ruficollis	Chordata	Aves	D	0.07249	3.02167	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta hutchinsii	Branta bernicla	Branta ruficollis	Chordata	Aves	D	0.00681	0.29991	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta canadensis	Branta bernicla	Branta ruficollis	Chordata	Aves	D	0.02213	0.99801	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Branta sandvicensis	Branta bernicla	Branta ruficollis	Chordata	Aves	D	0.04413	1.91339	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser erythropus	Anser albifrons 	Anser brachyrhynchus	Chordata	Aves	D	0.12618	6.11657	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser albifrons 	Anser brachyrhynchus	Chordata	Aves	D	0.02723	1.33776	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser albifrons 	Anser brachyrhynchus	Chordata	Aves	D	0.08962	4.41287	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser erythropus	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.00458	0.19114	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.08824	3.70132	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.07891	3.38305	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.12782	5.45737	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.06185	2.6321	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser anser	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.07889	3.53742	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen caerulescens	Anser albifrons 	Chen canagica	Chordata	Aves	D	0.00213	0.0979	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser erythropus	Anser albifrons 	Anser indicus	Chordata	Aves	D	0.02266	0.91438	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser albifrons 	Anser indicus	Chordata	Aves	D	0.00384	0.17217	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser albifrons 	Anser indicus	Chordata	Aves	D	0.04281	1.68711	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser albifrons 	Anser indicus	Chordata	Aves	D	0.08341	3.47019	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser albifrons 	Anser indicus	Chordata	Aves	D	0.02871	1.1552	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser erythropus	Anser cygnoides	Chordata	Aves	D	0.11449	5.27904	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser erythropus	Anser cygnoides	Chordata	Aves	D	0.1498	6.82075	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser erythropus	Anser cygnoides	Chordata	Aves	D	0.16054	8.14973	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser erythropus	Anser cygnoides	Chordata	Aves	D	0.17324	8.38472	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser erythropus	Anser anser	Chordata	Aves	D	0.10818	5.26884	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser erythropus	Anser anser	Chordata	Aves	D	0.08162	3.5794	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser erythropus	Anser anser	Chordata	Aves	D	0.0973	4.64227	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser erythropus	Anser anser	Chordata	Aves	D	0.08177	3.70011	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser erythropus	Anser anser	Chordata	Aves	D	0.09312	4.06701	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser erythropus	Chen rossii	Chordata	Aves	D	0.10396	5.32508	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser erythropus	Chen rossii	Chordata	Aves	D	0.11974	5.42133	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser erythropus	Chen rossii	Chordata	Aves	D	0.10336	4.68194	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser erythropus	Chen rossii	Chordata	Aves	D	0.08314	3.93028	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser erythropus	Chen rossii	Chordata	Aves	D	0.1038	3.98444	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser anser	Anser erythropus	Chen rossii	Chordata	Aves	D	0.01148	0.53256	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser erythropus	Chen rossii	Chordata	Aves	D	0.10199	4.5106	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.16526	7.33651	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.17361	7.03194	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.15702	7.05339	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.13653	6.22385	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.15579	6.52462	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser anser	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.08565	4.05429	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen rossii	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.05399	2.29222	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser erythropus	Chen caerulescens	Chordata	Aves	D	0.14437	6.00712	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser erythropus	Chen canagica	Chordata	Aves	D	0.07564	3.16364	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser erythropus	Chen canagica	Chordata	Aves	D	0.0703	3.00986	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser erythropus	Chen canagica	Chordata	Aves	D	0.11995	5.41878	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser erythropus	Chen canagica	Chordata	Aves	D	0.05741	2.35746	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser anser	Anser erythropus	Chen canagica	Chordata	Aves	D	0.07769	3.47207	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser erythropus	Anser brachyrhynchus	Anser indicus	Chordata	Aves	D	0.01861	0.74921	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser brachyrhynchus	Anser indicus	Chordata	Aves	D	0.04048	1.56798	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser brachyrhynchus	Anser indicus	Chordata	Aves	D	0.08173	3.43567	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser brachyrhynchus	Anser indicus	Chordata	Aves	D	0.02505	0.9412	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser anser	Chen rossii	Chordata	Aves	D	0.0867	3.71949	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser anser	Chen rossii	Chordata	Aves	D	0.10741	4.49622	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser anser	Chen rossii	Chordata	Aves	D	0.08642	3.4077	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser anser	Chen rossii	Chordata	Aves	D	0.06832	2.94125	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser anser	Chen rossii	Chordata	Aves	D	0.08417	3.04915	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen caerulescens	Anser anser	Chen rossii	Chordata	Aves	D	0.03108	1.22365	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser anser	Chen rossii	Chordata	Aves	D	0.16325	6.66969	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser anser	Chen caerulescens	Chordata	Aves	D	0.07162	3.05535	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser anser	Chen caerulescens	Chordata	Aves	D	0.09092	3.41593	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser anser	Chen caerulescens	Chordata	Aves	D	0.06595	2.68222	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser anser	Chen caerulescens	Chordata	Aves	D	0.04418	1.83175	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser anser	Chen caerulescens	Chordata	Aves	D	0.0588	2.22562	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser anser	Chen caerulescens	Chordata	Aves	D	0.13882	5.59049	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser serrirostris	Chen rossii	Chordata	Aves	D	0.00305	0.12683	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser serrirostris	Chen rossii	Chordata	Aves	D	0.02867	1.23776	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser serrirostris	Chen rossii	Chordata	Aves	D	0.00034	0.01257	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen caerulescens	Anser serrirostris	Chen rossii	Chordata	Aves	D	0.00673	0.27436	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser serrirostris	Chen rossii	Chordata	Aves	D	0.07827	3.69219	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser serrirostris	Chen caerulescens	Chordata	Aves	D	0.00949	0.38375	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser serrirostris	Chen caerulescens	Chordata	Aves	D	0.03252	1.24293	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser serrirostris	Chen caerulescens	Chordata	Aves	D	0.00617	0.24225	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser serrirostris	Chen caerulescens	Chordata	Aves	D	0.07382	3.31701	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser fabalis	Chen rossii	Chordata	Aves	D	0.02316	1.0319	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser fabalis	Chen rossii	Chordata	Aves	D	0.04881	2.25631	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser fabalis	Chen rossii	Chordata	Aves	D	0.02269	0.97237	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser fabalis	Chen rossii	Chordata	Aves	D	0.0202	0.77424	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen caerulescens	Anser fabalis	Chen rossii	Chordata	Aves	D	0.00234	0.10261	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser fabalis	Chen rossii	Chordata	Aves	D	0.13905	6.34584	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser fabalis	Chen caerulescens	Chordata	Aves	D	0.03412	1.45166	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser fabalis	Chen caerulescens	Chordata	Aves	D	0.05813	2.39468	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser fabalis	Chen caerulescens	Chordata	Aves	D	0.02728	1.16662	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser fabalis	Chen caerulescens	Chordata	Aves	D	0.01747	0.77938	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Chen canagica	Anser fabalis	Chen caerulescens	Chordata	Aves	D	0.13976	6.65546	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser albifrons	Anser anser	Anser indicus	Chordata	Aves	D	0.01386	0.56111	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser erythropus	Anser anser	Anser indicus	Chordata	Aves	D	0.03647	1.45986	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser brachyrhynchus	Anser anser	Anser indicus	Chordata	Aves	D	0.01757	0.73695	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser serrirostris	Anser anser	Anser indicus	Chordata	Aves	D	0.05311	2.04765	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser fabalis	Anser anser	Anser indicus	Chordata	Aves	D	0.09	4.05902	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Anser cygnoides	Anser anser	Anser indicus	Chordata	Aves	D	0.04084	1.55534	WGS	https://doi.org/10.1186/s12862-017-1048-2	AD		Confirmed yours were right -DP	multiple configurations	no	Z			
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (neglecta)	Dendrocincla fuliginosa (ridgwayi)	Chordata	Aves	D	−0.250	0.0015	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	1		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (ridgwayi)	Dendrocincla fuliginosa (rufoolivacea)	Chordata	Aves	D	−0.368	<0.00003	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	1		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (rufoolivacea)	Dendrocincla anabatina (typhia)	Chordata	Aves	D	−0.284	<0.00009	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	0.5		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (atrirostris)	Dendrocincla tyrannina (turdina)	Chordata	Aves	D	0.245	0.0027	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P			
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (atrirostris)	Dendrocincla tyrannina (taunayi)	Chordata	Aves	D	0.3	<0.00001	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (atrirostris)	Chordata	Aves	D	‐0.231	0.0004	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla anabatina (typhia)	Chordata	Aves	D	‐0.204	0.005	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (fuliginosa)	Chordata	Aves	D	−0.269	0.0005	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (rufoolivacea)	Chordata	Aves	D	−0.259	0.0005	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (ridgwayi)	Chordata	Aves	D	−0.237	0.001	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis  (CN541))	Dendrocincla tyrannina (FM429946)	Dendrocincla fuliginosa (neglecta)	Chordata	Aves	D	−0.270	0.0006	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (meruloides)	Chordata	Aves	D	−0.301	0.00002	WGS	10.1111/evo.13902	AD		Table 1	multiple configurations	no	P	3		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (neglecta)	Dendrocincla fuliginosa (ridgwayi)	Chordata	Aves	fhom	0.11	0.0015	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	1		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (ridgwayi)	Dendrocincla fuliginosa (rufoolivacea)	Chordata	Aves	fhom	0.079	<0.00003	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	1		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (rufoolivacea)	Dendrocincla anabatina (typhia)	Chordata	Aves	fhom	0.093	<0.00009	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	0.5		
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (atrirostris)	Dendrocincla tyrannina (turdina)	Chordata	Aves	fhom	0.065	0.0027	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P			
Dendrocincla fuliginosa (meruloides)	Dendrocincla fuliginosa (atrirostris)	Dendrocincla tyrannina (taunayi)	Chordata	Aves	fhom	0.089	<0.00001	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (atrirostris)	Chordata	Aves	fhom	0.051	0.0004	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla anabatina (typhia)	Chordata	Aves	fhom	0.047	0.005	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (fuliginosa)	Chordata	Aves	fhom	0.058	0.0005	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (rufoolivacea)	Chordata	Aves	fhom	0.055	0.0005	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (ridgwayi)	Chordata	Aves	fhom	0.052	0.001	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis  (CN541))	Dendrocincla tyrannina (FM429946)	Dendrocincla fuliginosa (neglecta)	Chordata	Aves	fhom	0.06	0.0006	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Dendrocincla merula (obidensis)	Dendrocincla tyrannina	Dendrocincla fuliginosa (meruloides)	Chordata	Aves	fhom	0.065	0.00002	WGS	10.1111/evo.13902	DP		Table 1	multiple configurations	no	P	3		
Ammodramus nelsoni (allopatric)	Ammodramus nelsoni (sympatric)	Ammodramus caudacutus	Chordata	Aves	fD	0.126	yes	WGS	10.1111/evo.13581	AD			specific configurations	no	NA			
Phylloscopus occisinensis	Phylloscopus affinis	Phylloscopus griseolus	Chordata	Aves	D	0.0267	Z;24.75	WGS	https://doi.org/10.1093/molbev/msz170	AD			specific configurations	no	Z			
Geospiza conirostris_E	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.081	2x10-81	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza magnirostris_G	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.098	5x10-113	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza conirostris_G	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.102	4x10-127	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza scandens_M	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.098	4x10-102	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
Geospiza difficilis_G	Geospiza difficilis_W	Geospiza difficilis_P	Chordata	Aves	D	0.051	5x10-32	WGS	10.1038/nature14181	DP	6Feb21	Table S2 (the underscore represents what island the species is from)	multiple configurations	no	P			
