P1	P2	P3	phylum	class	metric	value	significant (Y/N;p-value;z-stat)	genome_data_type	reference	collector	date	notes	Reporting type	Human associated?	Significance Test	divergence time	Recombination(+,0,-)	Sex chromosomes (+;0;-)	mating system	Ne difference?
Anguilla obscura	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	D	0.184	0.003	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	0.182	0.078	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla luzonensis	Chordata	Actinopterygii	D	0.173	0.008	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	D	0.14	0.026	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla luzonensis	Chordata	Actinopterygii	D	0.137	0.017	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	D	0.133	0.201	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla bicolor	Chordata	Actinopterygii	D	0.11	0.106	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	D	0.089	0.062	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	D	0.08	0.192	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	D	0.08	0.042	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	D	0.077	0.43	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla obscura	Chordata	Actinopterygii	D	0.073	0.406	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	D	0.068	0.241	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla marmorata	Chordata	Actinopterygii	D	0.046	0.261	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	D	0.042	0.447	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla luzonensis	Chordata	Actinopterygii	D	0.04	0.141	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	D	0.029	0.137	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	D	0.02	0.416	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	D	0.012	0.3	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	D	0.012	0.213	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	D	0.008	0.461	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	D	-0.003	0.303	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	D	-0.008	0.463	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	D	-0.012	0.227	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	D	-0.02	0.42	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	D	-0.029	0.164	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.04	0.141	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	D	-0.042	0.42	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	D	-0.046	0.263	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	D	-0.068	0.232	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla obscura	Chordata	Actinopterygii	D	-0.073	0.384	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	D	-0.077	0.403	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	D	-0.08	0.193	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla bicolor	Chordata	Actinopterygii	D	-0.11	0.119	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	D	-0.124	0.183	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.137	0.013	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	D	-0.14	0.025	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla luzonensis	Chordata	Actinopterygii	D	-0.173	0.009	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla marmorata	Chordata	Actinopterygii	D	-0.182	0.074	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	D	-0.184	0.006	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla marmorata	Chordata	Actinopterygii	D	-0.191	0.002	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	D	-0.191	0.006	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla bicolor	Chordata	Actinopterygii	D	-0.239	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla bicolor	Chordata	Actinopterygii	D	-0.313	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla obscura	Chordata	Actinopterygii	D	-0.321	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla obscura	Chordata	Actinopterygii	D	-0.334	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla interioris	Chordata	Actinopterygii	D	-0.358	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla interioris	Chordata	Actinopterygii	D	-0.406	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla interioris	Chordata	Actinopterygii	f4	-0.007	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0054	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla obscura	Chordata	Actinopterygii	f4	-0.0043	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla obscura	Chordata	Actinopterygii	f4	-0.0048	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0109	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla bicolor	Chordata	Actinopterygii	f4	-0.0052	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0077	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla bicolor	Chordata	Actinopterygii	f4	-0.0035	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0051	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0086	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0025	0.002	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	f4	-0.003	0.005	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0026	0.003	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0016	0.078	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0022	0.008	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0023	0.026	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0015	0.017	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0008	0.201	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla bicolor	Chordata	Actinopterygii	f4	-0.0011	0.106	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0015	0.062	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0007	0.192	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla bicolor	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0022	0.042	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0003	0.43	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla obscura	Chordata	Actinopterygii	f4	-0.0003	0.406	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0009	0.241	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0007	0.261	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0002	0.447	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.001	0.141	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0011	0.137	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0002	0.416	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	f4	0.0005	0.3	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla interioris	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0007	0.213	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0001	0.461	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	f4	-0.0007	0.303	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0001	0.463	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla bicolor	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0007	0.227	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	f4	-0.0002	0.42	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0011	0.164	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.001	0.141	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0002	0.42	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	0.0007	0.263	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0009	0.232	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla obscura	Chordata	Actinopterygii	f4	0.0003	0.384	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0003	0.403	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla luzonensis	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0007	0.193	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla luzonensis	Anguilla bicolor	Chordata	Actinopterygii	f4	0.0011	0.119	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0008	0.183	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0015	0.013	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla interioris	Anguilla marmorata	Anguilla megastoma	Chordata	Actinopterygii	f4	0.0023	0.025	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0022	0.009	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla marmorata	Chordata	Actinopterygii	f4	0.0016	0.074	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	f4	0.0026	0.006	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla marmorata	Chordata	Actinopterygii	f4	0.0025	0.002	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla bicolor	Anguilla obscura	Anguilla interioris	Chordata	Actinopterygii	f4	0.003	0.006	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla bicolor	Chordata	Actinopterygii	f4	0.0035	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla bicolor	Chordata	Actinopterygii	f4	0.0052	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla obscura	Chordata	Actinopterygii	f4	0.0048	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla obscura	Chordata	Actinopterygii	f4	0.0043	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla interioris	Chordata	Actinopterygii	f4	0.0054	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla luzonensis	Anguilla marmorata	Anguilla interioris	Chordata	Actinopterygii	f4	0.007	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S9	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0016	0.042	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0016	0.099	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0031	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0025	0.008	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0029	0	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0014	0.079	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.0015	0.025	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla obscura	Anguilla bicolor	Anguilla marmorata	Chordata	Actinopterygii	f4	-0.002	0.048	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0002	0.319	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0004	0.35	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0006	0.256	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0005	0.329	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0033	0.025	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	0.0012	0.238	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0033	0.0231	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0012	0.218	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
Anguilla marmorata	Anguilla marmorata	Anguilla luzonensis	Chordata	Actinopterygii	f4	-0.0034	0.0211	WGS	10.1038/s41467-020-15099-x	DP	6Feb21	table S10 (looked at multiple indivuals from the crosses the found interesting is table S9)	all pairwise and multiple outgroups 	no	P					
