Authors	Title	Journal	Abstract	Print Year	DOI		Taxon	Order	Genus (or number of)	Done?	Excluded from data gathering (Introgression line, other misc hit, no quantiative metrics, etc.)	reason for exclusion	Claim introgression happening?	Evidence?	Data type (amplicon, microsat, sanger, WGS, RAD, transcriptome, exome)	Spot-checked	
Bunlungsup, Srichan; Kanthaswamy, Sree; Oldt, Robert F.; Smith, David Glenn; Houghton, Paul; Hamada, Yuzuru; Malaivijitnond, Suchinda	Genetic analysis of samples from wild populations opens new perspectives on hybridization between long-tailed (Macaca fascicularis) and rhesus macaques (Macaca mulatta)	AMERICAN JOURNAL OF PRIMATOLOGY	In the past decade, many researchers have published papers about hybridization between long-tailed and rhesus macaques. These previous works have proposed unidirectional gene flow with the Isthmus of Kra as the zoogeographical barrier of hybridization. However, these reports analyzed specimens of unknown origin and/or did not include specimens from Thailand, the center of the proposed area of hybridization. Collected specimens of long-tailed and rhesus macaques representing all suspected hybridization areas were examined. Blood samples from four populations each of long-tailed and rhesus macaques inhabiting Thailand, Myanmar, and Laos were collected and analyzed with conspecific references from China (for rhesus macaques) and multiple countries from Sundaic regions (for long-tailed macaques). Ninety-six single nucleotide polymorphism (SNP) markers specifically designed to interrogate admixture and ancestry were used in genotyping. We found genetic admixture maximized at the hybrid zone (15-20 degrees N), as well as admixture signals of varying strength in both directions outside of the hybrid zone. These findings show that the Isthmus of Kra is not a barrier to gene flow from rhesus to long-tailed populations. However, to precisely identify a southernmost barrier, if in fact a boundary rather than simple isolation by distance exists, the samples from peninsular Malaysia must be included in the analysis. Additionally, a long-tailed to rhesus gene flow boundary was found between northern Thailand and Myanmar. Our results suggest that selection of long-tailed and rhesus macaques, the two most commonly used non-human primates for biomedical research, should take into account not only the species identification but also the origin of and genetic admixture within and between the species.	2017	10.1002/ajp.22726		Mammals			TRUE	FALSE	Uses SRUCTURE and ADMIXTURE	FALSE			FALSE	
Campbell, Polly; Nachman, Michael W.	X-Y Interactions Underlie Sperm Head Abnormality in Hybrid Male House Mice	GENETICS	The genetic basis of hybrid male sterility in house mice is complex, highly polygenic, and strongly X linked. Previous work suggested that there might be interactions between the Mus musculus musculus X and the M. m. domesticus Y with a large negative effect on sperm head morphology in hybrid males with an F-1 autosomal background. To test this, we introgressed the M. m. domesticus Y onto a M. m. musculus background and measured the change in sperm morphology, testis weight, and sperm count across early backcross generations and in 11th generation backcross males in which the opportunity for X-autosome incompatibilities is effectively eliminated. We found that abnormality in sperm morphology persists in M. m. domesticus Y introgression males, and that this phenotype is rescued by M. m. domesticus introgressions on the X chromosome. In contrast, the severe reductions in testis weight and sperm count that characterize F-1 males were eliminated after one generation of backcrossing. These results indicate that X-Y incompatibilities contribute specifically to sperm morphology. In contrast, X-autosome incompatibilities contribute to low testis weight, low sperm count, and sperm morphology. Restoration of normal testis weight and sperm count in first generation backcross males suggests that a small number of complex incompatibilities between loci on the M. m. musculus X and the M. m. domesticus autosomes underlie F-1 male sterility. Together, these results provide insight into the genetic architecture of F-1 male sterility and help to explain genome-wide patterns of introgression across the house mouse hybrid zone.	2014	10.1534/genetics.114.161703		Mammals			TRUE	TRUE	expieremental crosses and noted lack of introgression 	FALSE			FALSE	
Carneiro, Jeferson; da Silva Rodrigues-Filho, Luis Fernando; Schneider, Horacio; Sampaio, Iracilda	Molecular data highlight hybridization in squirrel monkeys (Saimiri, Cebidae)	GENETICS AND MOLECULAR BIOLOGY	Hybridization has been reported increasingly frequently in recent years, fueling the debate on its role in the evolutionary history of species. Some studies have shown that hybridization is very common in captive New World primates, and hybrid offspring have phenotypes and physiological responses distinct from those of the "pure" parents, due to gene introgression. Here we used the TA15 Alu insertion to investigate hybridization in the genus Saimiri. Our results indicate the hybridization of Saimiri boliviensis peruviensis with S. sciureus macrodon, and S. b. boliviensis with S. ustus. Unexpectedly, some hybrids of both S. boliviensis peruviensis and S. b. boliviensis were homozygous for the absence of the insertion, which indicates that the hybrids were fertile.	2016	10.1590/1678-4685-GMB-2016-0091		Mammals			TRUE	FALSE	biogeographic more than anything	FALSE			FALSE	
Cizkova, Dagmar; Baird, Stuart J. E.; Tesikova, Jana; Voigt, Sebastian; Dureje, Ludovit; Pialek, Jaroslav; de Bellocq, Joelle Gouy	Host subspecific viral strains in European house mice: Murine cytomegalovirus in the Eastern (Mus musculus musculus) and Western house mouse (Mus musculus domesticus)	VIROLOGY	Murine cytomegalovirus (MCMV) has been reported from house mice (Mus musculus) worldwide, but only recently from Eastern house mice (M. m. musculus), of particular interest because they form a semi-permeable species barrier in Europe with Western house mice, M. in. domesticus. Here we report genome sequences of EastMCMV (from Eastern mice), and set these in the context of MCMV genomes from genus Mus hosts. We show EastMCMV and WestMCMV are genetically distinct. Phylogeny splitting analyses show a genome wide (94%) pattern consistent with no West-East introgression, the major exception (3.8%) being a genome-terminal region of duplicated genes involved in host immune system evasion. As expected from its function, this is a region of maintenance of ancestral polymorphism: The lack of clear splitting signal cannot be interpreted as evidence of introgression. The EastMCMV genome sequences reported here can therefore serve as a well-described resource for exploration of murid MCMV diversity.	2018	10.1016/j.virol.2018.05.023		Mammals			TRUE	FALSE	Did not calculate stats of intrerest 	FALSE			FALSE	
Colella, Jocelyn P.; Wilson, Robert E.; Talbot, Sandra L.; Cook, Joseph A.	Implications of introgression for wildlife translocations: the case of North American martens	CONSERVATION GENETICS	The evolutionary consequences of natural introgression provide a rare opportunity to retrospectively evaluate how the introduction of exotics or genetic rescue efforts may impact endemic faunas. Phylogeographic structure among mainland, endemic insular, and introduced North American marten (Martes americana and M. caurina) populations have been shaped by a complex history of natural, post-glacial population expansion followed by a series of anthropogenic introductions. In some cases, both natural colonization and translocations facilitated secondary contact, offering a series of replicated experiments that demonstrate how introgression, in these cases following isolation (insular and refugial), shapes genetic diversity. We test whether genetic exchange is occurring between North American marten species using mitochondrial genomes and ten nuclear loci. We present evidence of biased nuclear introgression from M. caurina into M. americana across two natural hybrid zones (insular and mainland) and found no remnant evidence of M. caurina on islands that received M. americana translocations, suggesting prior absence, potential extirpation, or genetic swamping of M. caurina from these islands. Our results highlight the importance of understanding phylogeographic variation prior to identifying source populations for wildlife translocations and caution the use of genetic rescue for North American marten populations. Although previously managed as a single species, these two species show substantial genetic divergence. When the two are placed into contact, they exhibit unidirectional, asymmetric introgression with potentially negative consequences for M. caurina, underscoring the value of mindful consideration of introgression in wildlife management.	2019	10.1007/s10592-018-1120-5		Mammals			TRUE	FALSE	seem to used every summary stat in the book but the ones we are interested in	FALSE			FALSE	
Colella, JP; Lan, TY; Schuster, SC; Talbot, SL; Cook, JA; Lindqvist, C	Whole-genome analysis of Mustela erminea finds that pulsed hybridization impacts evolution at high latitudes	COMMUNICATIONS BIOLOGY	NA	2018	10.1038/s42003-018-0058-y		Mammals			TRUE	TRUE	were looking at admixed populations but not neceassitly introgression	FALSE			FALSE	
Cortes-Ortiz, Liliana; Nidiffer, Marcella D.; Hermida-Lagunes, Javier; Garcia-Orduna, Francisco; Rangel-Negrin, Ariadna; Kitchen, Dawn M.; Bergman, Thore J.; Dias, Pedro A. D.; Canales-Espinosa, Domingo	Reduced Introgression of Sex Chromosome Markers in the Mexican Howler Monkey (Alouatta palliata x A-pigra) Hybrid Zone	INTERNATIONAL JOURNAL OF PRIMATOLOGY	Interspecific hybridization allows the introgression or movement of alleles from one genome to another. While some genomic regions freely exchange alleles during hybridization, loci associated with reproductive isolation do not intermix. In many model organisms, the X chromosome displays limited introgression compared to autosomes owing to the presence of multiple loci associated with hybrid sterility or inviability (the "large X-effect"). Similarly, if hybrids are produced, the heterogametic sex is usually inviable or sterile, a pattern known as Haldane's rule. We analyzed the patterns of introgression of genetic markers located in the mitochondrial (control region) and nuclear (autosomal microsatellites and sex chromosome genes) genomes of two howler monkey species (Alouatta palliata and A. pigra) that form a natural hybrid zone in southern Mexico, to evaluate whether the large X-effect and Haldane's rule affect the outcomes of hybridization between these sister species. To identify the level of admixture of each individual in the hybrid zone (N=254) we analyzed individuals sampled outside the hybrid zone (109 A. pigra and 39 A. palliata) to determine allele frequencies of parental species and estimated a hybrid index based on nuclear markers. We then performed a cline analysis using individuals in the hybrid zone to determine patterns of introgression for each locus. Our analyses show that although the hybrid zone is bimodal (with no known F1 s and few recent generation hybrids) and quite narrow, there has been extensive introgression in both directions, and there is a large array of admixed individuals in the hybrid zone. Mitochondrial and most autosomal markers showed bidirectional introgression, but some had biased introgression toward one species or the other. All markers on the sex chromosomes and a few autosomal markers showed highly restricted introgression. This pattern is consistent with the hypothesis that the sex chromosomes make a disproportionate contribution to reproductive isolation, and our results broaden the taxonomic representation of these patterns across animal taxa.	2019	10.1007/s10764-018-0056-4		Mammals			TRUE	FALSE	Did not calculate stats of intrerest 	FALSE			FALSE	
Deschamps, M; Quintana-Murci, L	Innate immunity and human diseases: from archaic introgression to natural selection	M S-MEDECINE SCIENCES	NA	2016	10.1051/medsci/20163212011		Mammals			FALSE	FALSE	can someone find an english copy???	FALSE			FALSE	
Disotell, TR	Archaic human genomics	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	NA	2012	10.1002/ajpa.22159		Mammals			TRUE	TRUE	review-like paper on aDNA	FALSE			FALSE	
Durvasula, A; Sankararaman, S	A statistical model for reference-free inference of archaic local ancestry	PLOS GENETICS	NA	2019	10.1371/journal.pgen.1008175		Mammals			TRUE	TRUE	methods paper	FALSE			FALSE	
Enard, D; Petrov, DA	Evidence that RNA Viruses Drove Adaptive Introgression between Neanderthals and Modem Humans	CELL	NA	2018	10.1016/j.cell.2018.08.034		Mammals			TRUE	TRUE	didn't test for introgresion just used previously identiofied sites	FALSE			FALSE	
Eriksson, A; Manica, A	Effect of ancient population structure on the degree of polymorphism shared between modern human populations and ancient hominins	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	NA	2012	10.1073/pnas.1200567109		Mammals			TRUE	TRUE	simulation study	FALSE			FALSE	
Fontsere, C; de Manuel, M; Marques-Bonet, T; Kuhlwilm, M	Admixture in Mammals and How to Understand Its Functional Implications On the Abundance of Gene Flow in Mammalian Species, Its Impact on the Genome, and Roads into a Functional Understanding	BIOESSAYS	NA	NA	10.1002/bies.201900123		Mammals			TRUE	TRUE	review	FALSE			FALSE	
Forgacs, David; Wallen, Rick L.; Dobson, Lauren K.; Derr, James N.	Mitochondrial Genome Analysis Reveals Historical Lineages in Yellowstone Bison	PLOS ONE	Yellowstone National Park is home to one of the only plains bison populations that have continuously existed on their present landscape since prehistoric times without evidence of domestic cattle introgression. Previous studies characterized the relatively high levels of nuclear genetic diversity in these bison, but little is known about their mitochondrial haplotype diversity. This study assessed mitochondrial genomes from 25 randomly selected Yellowstone bison and found 10 different mitochondrial haplotypes with a haplotype diversity of 0.78 (+/- 0.06). Spatial analysis of these mitochondrial DNA (mtDNA) haplotypes did not detect geographic population subdivision (F-ST = -0.06, p = 0.76). However, we identified two independent and historically important lineages in Yellowstone bison by combining data from 65 bison (defined by 120 polymorphic sites) from across North America representing a total of 30 different mitochondrial DNA haplotypes. Mitochondrial DNA haplotypes from one of the Yellowstone lineages represent descendants of the 22 indigenous bison remaining in central Yellowstone in 1902. The other mitochondrial DNA lineage represents descendants of the 18 females introduced from northern Montana in 1902 to supplement the indigenous bison population and develop a new breeding herd in the northern region of the park. Comparing modern and historical mitochondrial DNA diversity in Yellowstone bison helps uncover a historical context of park restoration efforts during the early 1900s, provides evidence against a hypothesized mitochondrial disease in bison, and reveals the signature of recent hybridization between American plains bison (Bison bison bison) and Canadian wood bison (B.b. athabascae). Our study demonstrates how mitochondrial DNA can be applied to delineate the history of wildlife species and inform future conservation actions.	2016	10.1371/journal.pone.0166081		Mammals			TRUE	FALSE	just look at haplotypes	FALSE			FALSE	
Galaverni, Marco; Caniglia, Romolo; Pagani, Luca; Fabbri, Elena; Boattini, Alessio; Randi, Ettore	Disentangling Timing of Admixture, Patterns of Introgression, and Phenotypic Indicators in a Hybridizing Wolf Population	MOLECULAR BIOLOGY AND EVOLUTION	Hybridization is a natural or anthropogenic process that can deeply affect the genetic make-up of populations, possibly decreasing individual fitness but sometimes favoring local adaptations. The population of Italian wolves (Canis lupus), after protracted demographic declines and isolation, is currently expanding in anthropic areas, with documented cases of hybridization with stray domestic dogs. However, identifying admixture patterns in deeply introgressed populations is far from trivial. In this study, we used a panel of 170,000 SNPs analyzed with multivariate, Bayesian and local ancestry reconstruction methods to identify hybrids, estimate their ancestry proportions and timing since admixture. Moreover, we carried out preliminary genotype-phenotype association analyses to identify the genetic bases of three phenotypic traits (black coat, white claws, and spur on the hind legs) putative indicators of hybridization. Results showed no sharp subdivisions between nonadmixed wolves and hybrids, indicating that recurrent hybridization and deep introgression might have started mostly at the beginning of the population reexpansion. In hybrids, we identified a number of genomic regions with excess of ancestry in one of the parental populations, and regions with excess or resistance to introgression compared with neutral expectations. The three morphological traits showed significant genotype-phenotype associations, with a single genomic region for black coats and white claws, and with multiple genomic regions for the spur. In all cases the associated haplotypes were likely derived from dogs. In conclusion, we show that the use of multiple genome-wide ancestry reconstructions allows clarifying the admixture dynamics even in highly introgressed populations, and supports their conservation management.	2017	10.1093/molbev/msx169		Mammals			TRUE	FALSE	Did not calculate stats of intrerest 	FALSE			FALSE	
Garcia-Elfring, A.; Barrett, R. D. H.; Combs, M.; Davies, T. J.; Munshi-South, J.; Millien, V.	Admixture on the northern front: population genomics of range expansion in the white-footed mouse (Peromyscus leucopus) and secondary contact with the deer mouse (Peromyscus maniculatus)	HEREDITY	Range expansion has genetic consequences expected to result in differentiated wave-front populations with low genetic variation and potentially introgression from a local species. The northern expansion of Peromyscus leucopus in southern Quebec provides an opportunity to test these predictions using population genomic tools. Our results show evidence of recent and post-glacial expansion. Genome-wide variation in P. leucopus indicates two post-glacial lineages are separated by the St. Lawrence River, with a more recent divergence of populations isolated by the Richelieu River. In two of three transects we documented northern populations with low diversity in at least one genetic measure, although most relationships were not significant. Consistent with bottlenecks and allele surfing during northward expansion, we document a northern-most population with low nucleotide diversity, divergent allele frequencies and the most private alleles, and observed heterozygosity indicates outcrossing. Ancestry proportions revealed putative hybrids of P. leucopus and P. maniculatus. A formal test for gene flow confirmed secondary contact, showing that a reticulate population phylogeny between P. maniculatus and P. leucopus was a better fit to the data than a bifurcating model without gene flow. Thus, we provide the first genomic evidence of gene flow between this pair of species in natural populations. Understanding the evolutionary consequences of secondary contact is an important conservation concern as climate-induced range expansions are expected to result in new hybrid zones between closely related species.	2017	10.1038/hdy.2017.57		Mammals			TRUE	FALSE	Uses SRUCTURE and ADMIXTURE	FALSE			FALSE	
Giannoulis, Themistoklis; Plageras, Dimitrios; Stamatis, Costas; Chatzivagia, Eleni; Tsipourlianos, Andreas; Birtsas, Periklis; Billinis, Charalambos; Suchentrunk, Franz; Mamuris, Zissis	Islands and hybrid zones: combining the knowledge from "Natural Laboratories" to explain phylogeographic patterns of the European brown hare	BMC EVOLUTIONARY BIOLOGY	BackgroundThe aim of the study was to use hybrid populations as well as island populations of the European brown hare (Lepus europaeus) to explore the effect of evolutionary events, such as the post-deglaciation translocations, spontaneous and human-mediated, local adaptation and the genetic drift in the shaping of the phylogeographic patterns of the species. For this purpose, we used molecular markers, both nuclear and mitochondrial, that are indicative for local adaptation as well as neutral markers to elucidate the patterns of population differentiation based on geographic isolation and the clade of origin. To broaden our analysis, we included data from our previous studies concerning mainland populations, to explore the genetic differentiation in the base of the geographic origin (mainland/island) of the populations.ResultsOur results suggest that local adaptation shapes the differentiation in both genomes, favoring specific alleles in nuclear genes (e.g. DQA) or haplotypes in mtDNA (e.g. Control Region, CR). mtDNA variation was found to be in a higher level and was able to give a phylogeographic signal for the populations. Furthermore, the degree of variation was influenced not only by the geographic origin, but also by the clade of origin, since specific island populations of Anatolian origin showed a greater degree of variation compared to specific mainland populations of the European clade. Concerning the hybrid population, we confirmed the existence of both clades in the territory and we provided a possible explanation for the lack of introgression between the clades.ConclusionOur results indicate that the Quaternary's climatic oscillations played a major role in the shaping of the phylogeographic patterns of the species, by isolating populations in the distinct refugia, where they adapted and differentiate in allopatry, leading to genome incompatibilities observed nowadays.	2019	10.1186/s12862-019-1354-y		Mammals			TRUE	FALSE	Did not calculate introgression summary stats instead did FST and ADMIXTURE plots (Q values)	FALSE			FALSE	
Gippoliti, S; Cotterill, FPD; Zinner, D; Groves, CP	Impacts of taxonomic inertia for the conservation of African ungulate diversity: an overview	BIOLOGICAL REVIEWS	NA	2018	10.1111/brv.12335		Mammals			TRUE	TRUE	review	FALSE			FALSE	
Gunz, P; Tilot, AK; Wittfeld, K; Teumer, A; Shapland, CY; van Erp, TGM; Dannemann, M; Vernot, B; Neubauer, S; Guadalupe, T; Fernandez, G; Brunner, HG; Enard, W; Fallon, J; Hosten, N; Volker, U; Profico, A; Di Vincenzo, F; Manzi, G; Kelso, J; St Pourcain, B; Hublin, JJ; Franke, B; Paabo, S; Macciardi, F; Grabe, HJ; Fisher, SE	Neandertal Introgression Sheds Light on Modern Human Endocranial Globularity	CURRENT BIOLOGY	NA	2019	10.1016/j.cub.2018.10.065		Mammals			TRUE	TRUE	didn't test for introgression	FALSE			FALSE	
Haines, Margaret L.; Luikart, Gordon; Amish, Stephen J.; Smith, Seth; Latch, Emily K.	Evidence for adaptive introgression of exons across a hybrid swarm in deer	BMC EVOLUTIONARY BIOLOGY	Background Secondary contact between closely related lineages can result in a variety of outcomes, including hybridization, depending upon the strength of reproductive barriers. By examining the extent to which different parts of the genome introgress, it is possible to infer the strength of selection and gain insight into the evolutionary trajectory of lineages. Following secondary contact approximately 8000 years ago in the Pacific Northwest, mule deer (Odocoileus hemionus hemionus) and black-tailed deer (O. h. columbianus) formed a hybrid swarm along the Cascade mountain range despite substantial differences in body size (up to two times) and habitat preference. In this study, we examined genetic population structure, extent of introgression, and selection pressures in freely interbreeding populations of mule deer and black-tailed deer using mitochondrial DNA sequences, 9 microsatellite loci, and 95 SNPs from protein-coding genes. Results We observed bi-directional hybridization and classified approximately one third of the 172 individuals as hybrids, almost all of which were beyond the F1 generation. High genetic differentiation between black-tailed deer and mule deer at protein-coding genes suggests that there is positive divergent selection, though selection on these loci is relatively weak. Contrary to predictions, there was not greater selection on protein-coding genes thought to be associated with immune function and mate choice. Geographic cline analyses were consistent across genetic markers, suggesting long-term stability (over hundreds of generations), and indicated that the center of the hybrid swarm is 20-30 km to the east of the Cascades ridgeline, where there is a steep ecological transition from wet, forested habitat to dry, scrub habitat. Conclusions Our data are consistent with a genetic boundary between mule deer and black-tailed deer that is porous but maintained by many loci under weak selection having a substantial cumulative effect. The absence of clear reproductive barriers and the consistent centering of geographic clines at a sharp ecotone suggests that ecology is a driver of hybrid swarm dynamics. Adaptive introgression in this study (and others) promotes gene flow and provides valuable insight into selection strength on specific genes and the evolutionary trajectory of hybridizing taxa.	2019	10.1186/s12862-019-1497-x		Mammals			TRUE	FALSE	Did not calculate introgression summary stats instead did FST, JOST's D, Q, and K	FALSE			FALSE	
Hallstroem, Bjoern M.; Janke, Axel	Resolution among major placental mammal interordinal relationships with genome data imply that speciation influenced their earliest radiations	BMC EVOLUTIONARY BIOLOGY	Background: A number of the deeper divergences in the placental mammal tree are still inconclusively resolved despite extensive phylogenomic analyses. A recent analysis of 200 kbp of protein coding sequences yielded only limited support for the relationships among Laurasiatheria (cow, dog, bat and shrew), probably because the divergences occurred only within a few million years from each other. It is generally expected that increasing the amount of data and improving the taxon sampling enhance the resolution of narrow divergences. Therefore these and other difficult splits were examined by phylogenomic analysis of the hitherto largest sequence alignment. The increasingly complete genome data of placental mammals also allowed developing a novel and stringent data search method. Results: The rigorous data handling, recursive BLAST, successfully removed the sequences from gene families, including those from well-known families hemoglobin, olfactory, myosin and HOX genes, thus avoiding alignment of possibly paralogous sequences. The current phylogenomic analysis of 3,012 genes (2,844,615 nucleotides) from a total of 22 species yielded statistically significant support for most relationships. While some major clades were confirmed using genomic sequence data, the placement of the treeshrew, bat and the relationship between Boreoeutheria, Xenarthra and Afrotheria remained problematic to resolve despite the size of the alignment. Phylogenomic analysis of divergence times dated the basal placental mammal splits at 95-100 million years ago. Many of the following divergences occurred only a few (2-4) million years later. Relationships with narrow divergence time intervals received unexpectedly limited support even from the phylogenomic analyses. Conclusion: The narrow temporal window within which some placental divergences took place suggests that inconsistencies and limited resolution of the mammalian tree may have their natural explanation in speciation processes such as lineage sorting, introgression from species hybridization or hybrid speciation. These processes obscure phylogenetic analysis, making some parts of the tree difficult to resolve even with genome data.	2008	10.1186/1471-2148-8-162		Mammals			TRUE	TRUE	says introgression is a possibility but doesn't actually claim its happening	FALSE			FALSE	
Ham, E; Underdown, SJ; Houldcroft, CJ	The relative roles of maternal survival and inter-personal violence as selection pressures on the persistence of Neanderthal hypercoagulability alleles in modern Europeans	ANNALS OF HUMAN BIOLOGY	NA	2019	10.1080/03014460.2019.1622038		Mammals			TRUE	TRUE	not calculating introgresion 	FALSE			FALSE	
Harris, K; Nielsen, R	The Genetic Cost of Neanderthal Introgression	GENETICS	NA	2016	10.1534/genetics.116.186890		Mammals			TRUE	TRUE	wasn't testing for introgression	FALSE			FALSE	
Hassanin, Alexandre; Houck, Marlys L.; Tshikung, Didier; Kadjo, Blaise; Davis, Heidi; Ropiquet, Anne	Multi-locus phylogeny of the tribe Tragelaphini (Mammalia, Bovidae) and species delimitation in bushbuck: Evidence for chromosomal speciation mediated by interspecific hybridization	MOLECULAR PHYLOGENETICS AND EVOLUTION	The bushbuck is the most widespread bovid species in Africa. Previous mitochondrial studies have revealed a polyphyletic pattern suggesting the possible existence of two distinct species. To assess this issue, we have sequenced 16 nuclear genes and one mitochondrial fragment (cytochrome b gene + control region) for most species of the tribe Tragelaphini, including seven bushbuck individuals belonging to the two divergent mtDNA haplogroups, Scriptus and Sylvaticus. Our phylogenetic analyses show that the Scriptus lineage is a sister-group of Sylvaticus in the nuclear tree, whereas it is related to Tragelaphus angasii in the mitochondrial tree. This mito-nuclear discordance indicates that the mitochondrial genome of Scriptus was acquired by introgression after one or several past events of hybridization between bushbuck and an extinct species closely related to T. angasii. The division into two bushbuck species is supported by the analyses of nuclear markers and by the karyotype here described for T. scriptus (2n = 57 M/58F), which is strikingly distinct from the one previously found for T. sylvaticus (2n = 33 M/34F). Molecular dating estimates suggest that the two species separated during the Early Pleistocene after an event of interspecific hybridization, which may have mediated massive chromosomal rearrangements in the common ancestor of T. scriptus.	2018	10.1016/j.ympev.2018.08.006		Mammals			TRUE	FALSE	Did not calculate stats of intrerest 	FALSE			FALSE	
Hassanin, Alexandre; Ropiquet, Anne	Resolving a zoological mystery: the kouprey is a real species	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	The kouprey is a rare and enigmatic forest ox discovered by scientists in Cambodia only in 1937. Numerous morphological hypotheses have been proposed for the origin of the kouprey: that it is a species closely related to banteng and gaur, two other wild oxen of southeast Asia; a morphologically divergent species placed in a separate genus, named Novibos; a wild species linked to aurochs and domestic cattle; a vicariant population of banteng; a feral cattle; or a hybrid of banteng with either zebu cattle, gaur or water buffalo. In a recent paper, which gained a lot of media coverage, Galbreath et al. analysed mitochondrial DNA sequences and concluded that the kouprey never existed as a wild, natural species, and that it was a feral hybrid between banteng and zebu cattle. Here we analyse eight DNA markers-three mitochondrial regions and five nuclear fragments - representing an alignment of 4582 nucleotides for the holotype of the kouprey and all related species. Our results demonstrate that the kouprey is a real and naturally occurring species, and show that Cambodian populations of banteng acquired a mitochondrial genome of kouprey by natural introgressive hybridization during the Pleistocene epoch.	2007	10.1098/rspb.2007.0830		Mammals			TRUE	TRUE	doesn't actually claim there is introgression	FALSE			FALSE	
Hawks, J	Introgression Makes Waves in Inferred Histories of Effective Population Size	HUMAN BIOLOGY	NA	2017	10.13110/humanbiology.89.1.04		Mammals			FALSE	FALSE	cant get acess to this article	FALSE			FALSE	
Heppenheimer, Elizabeth; Harrigan, Ryan J.; Rutledge, Linda Y.; Koepfli, Klaus-Peter; DeCandia, Alexandra L.; Brzeski, Kristin E.; Benson, John F.; Wheeldon, Tyler; Patterson, Brent R.; Kays, Roland; Hohenlohe, Paul A.; von Holdt, Bridgett M.	Population Genomic Analysis of North American Eastern Wolves (Canis lycaon) Supports Their Conservation Priority Status	GENES	The threatened eastern wolf is found predominantly in protected areas of central Ontario and has an evolutionary history obscured by interbreeding with coyotes and gray wolves, which challenges its conservation status and subsequent management. Here, we used a population genomics approach to uncover spatial patterns of variation in 281 canids in central Ontario and the Great Lakes region. This represents the first genome-wide single nucleotide polymorphism (SNP) dataset with substantial sample sizes of representative populations. Although they comprise their own genetic cluster, we found evidence of eastern wolf dispersal outside of the boundaries of protected areas, in that the frequency of eastern wolf genetic variation decreases with increasing distance from provincial parks. We detected eastern wolf alleles in admixed coyotes along the northeastern regions of Lake Huron and Lake Ontario. Our analyses confirm the unique genomic composition of eastern wolves, which are mostly restricted to small fragmented patches of protected habitat in central Ontario. We hope this work will encourage an innovative discussion regarding a plan for managed introgression, which could conserve eastern wolf genetic material in any genome regardless of their potential mosaic ancestry composition and the habitats that promote them.	2018	10.3390/genes9120606		Mammals			TRUE	FALSE	Did not calculate stats of intrerest 	FALSE			FALSE	
Huerta-Sanchez, E; Casey, FP	Simultaneous Viral Exposure and Protection from Neanderthal Introgression	CELL	NA	2018	10.1016/j.cell.2018.09.019		Mammals			TRUE	TRUE	perspective	FALSE			FALSE	
Iacolina, Laura; Pertoldi, Cino; Amills, Marcel; Kusza, Szilvia; Megens, Hendrik-Jan; Balteanu, Valentin Adrian; Bakan, Jana; Cubric-Curic, Vlatka; Oja, Ragne; Saarma, Urmas; Scandura, Massimo; Sprem, Nikica; Stronen, Astrid Vik	Hotspots of recent hybridization between pigs and wild boars in Europe	SCIENTIFIC REPORTS	After a strong demographic decline before World War II, wild boar populations are expanding and the species is now the second-most abundant ungulate in Europe. This increase raises concerns due to wild boar impact on crops and natural ecosystems and as potential vector of diseases. Additionally, wild boar can hybridize with domestic pigs, which could increase health risks and alter wild boar adaptive potential. We analysed 47,148 Single Nucleotide Polymorphisms in wild boar from Europe (292) and the Near East (16), and commercial (44) and local (255) pig breeds, to discern patterns of hybridization across Europe. We identified 33 wild boars with more than 10% domestic ancestry in their genome, mostly concentrated in Austria, Bosnia and Herzegovina, Bulgaria and Serbia. This difference is probably due to contrasting practices, with free-ranging vs. industrial farming but more samples would be needed to investigate larger geographic patterns. Our results suggest hybridization has occurred over a long period and is still ongoing, as we observed recent hybrids. Although wild and domestic populations have maintained their genetic distinctiveness, potential health threats raise concerns and require implementation of management actions and farming practices aimed at reducing contact between wild and domestic pigs.	2018	10.1038/s41598-018-35865-8		Mammals			TRUE	FALSE	Did not calculate stats of intrerest 	FALSE			FALSE	
Inoue, I; Nakaoka, H	Disease-Related Genes from Population Genetic Aspect and Their Functional Significance	EVOLUTION OF THE HUMAN GENOME I: THE GENOME AND GENES	NA	2017	10.1007/978-4-431-56603-8_14		Mammals			TRUE	TRUE	book chapter	FALSE			FALSE	
